1 1 1:0.35 2:0.34 4:0.54 5:0.4 7:0.6 8:0.6 10:0.6 11:0.6 13:0.45 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
59 2 45:0.23 66:0.28 127:0.42 228:0.48 281:0.54 338:0.54 366:0.6 367:0.6 368:0.51 370:0.6 371:0.6 372:0.54 373:0.6 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
60 1 45:0.23 49:0.27 66:0.28 195:0.43 196:0.43 259:0.4 326:0.57 333:0.39 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
61 1 45:0.23 71:0.76 101:0.37 347:0.45 375:0.6 376:0.6 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
62 1 45:0.23 49:0.27 61:0.45 67:0.66 128:0.28 230:0.45 283:0.54 347:0.45 368:0.51 379:0.6 380:0.54 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
63 1 64:0.43 76:0.37 194:0.51 381:0.54 382:0.54 		sáng ra thấy tin này là phấn_khởi hẳn 
64 1 174:0.45 326:0.36 333:0.39 		cảm_ơn bác hải 
65 1 1:0.35 2:0.34 21:0.21 49:0.27 59:0.51 61:0.45 128:0.28 132:0.31 177:0.48 184:0.42 186:0.42 363:0.34 383:0.54 384:0.6 386:0.95 387:0.6 388:0.54 389:0.95 392:0.51 393:0.6 394:0.6 395:0.6 396:0.6 397:0.54 398:0.6 399:0.54 400:0.6 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
66 1 66:0.28 128:0.28 190:0.37 210:0.54 326:0.36 327:0.45 344:0.51 		đúng hướng rồi làm mạnh đi các bác ơi 
67 1 45:0.23 401:0.6 		rất ủng_hộ phương_án này
68 1 39:0.37 77:0.51 78:0.27 96:0.42 101:0.37 112:0.37 136:0.31 153:0.54 177:0.48 227:0.43 229:0.54 252:0.48 279:0.49 320:0.43 324:0.43 362:0.48 368:0.51 397:0.86 402:0.48 403:0.54 404:0.6 405:0.6 406:0.54 407:0.6 408:0.6 409:0.6 410:0.48 411:0.72 412:0.6 413:0.6 414:0.43 415:0.54 416:0.6 417:0.6 418:0.6 419:0.6 420:0.6 421:0.43 422:0.6 423:0.6 425:0.6 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
69 1 45:0.23 66:0.28 101:0.59 426:0.95 427:0.6 428:0.48 429:0.54 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
70 1 45:0.46 66:0.28 279:0.31 324:0.43 327:0.45 430:0.6 431:0.6 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
71 1 15:0.45 45:0.23 67:0.42 79:0.51 127:0.42 140:0.51 186:0.42 220:0.37 227:0.43 432:0.6 433:0.51 434:0.6 435:0.6 436:0.36 437:0.6 438:0.54 439:0.48 440:0.54 441:0.6 442:0.6 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
72 1 184:0.42 264:0.39 333:0.39 342:0.51 343:0.51 363:0.34 381:0.54 383:0.54 443:0.6 444:0.6 445:0.42 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
73 1 66:0.28 190:0.37 195:0.43 196:0.43 307:0.48 411:0.45 446:0.6 447:0.45 448:0.54 449:0.6 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
74 1 5:0.4 21:0.21 45:0.23 147:0.51 186:0.42 414:0.43 415:0.54 450:0.48 451:0.6 452:0.54 453:0.43 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
75 1 2:0.34 5:0.4 78:0.27 112:0.37 344:0.51 411:0.45 447:0.45 453:0.43 454:0.6 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
76 1 227:0.43 455:0.51 456:0.6 		rất hoan_nghênh nhưng đừng để đội_giá
77 1 2:0.69 39:0.37 78:0.27 184:0.42 186:0.42 275:0.39 411:0.45 447:0.45 448:0.54 453:0.43 457:0.51 458:0.6 459:0.6 460:0.6 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
78 1 20:0.51 190:0.37 192:0.54 262:0.37 461:0.51 462:0.51 463:0.6 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
79 1 46:0.36 464:0.54 465:0.54 466:0.54 467:0.6 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
80 1 46:0.36 224:0.51 464:0.54 465:0.54 466:0.54 468:0.6 469:0.6 470:0.6 471:0.6 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
81 1 5:0.4 13:0.45 127:0.42 224:0.51 308:0.36 329:0.54 438:0.54 439:0.48 472:0.6 473:0.6 474:0.6 475:0.6 476:0.6 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
82 1 46:0.36 190:0.37 315:0.39 477:0.6 		bộ_trưởng nói rất đúng không nên manh_động 
83 2 478:0.6 479:0.6 		vỗ_tay quá_trời
84 1 45:0.23 91:0.34 227:0.43 453:0.43 480:0.6 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
85 1 481:0.6 482:0.6 		rất chặt_chẽ và nghiêm_khắc
86 1 45:0.23 		ủng_hộ
87 1 45:0.23 		phải vậy tôi rất ủng_hộ
88 1 211:0.31 		hay
89 1 63:0.54 196:0.43 308:0.36 483:0.6 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
90 1 45:0.23 484:0.45 485:0.51 486:0.6 487:0.6 488:0.6 489:0.95 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
91 1 190:0.37 264:0.39 315:0.39 		ông nói đúng 
92 1 21:0.21 490:0.6 491:0.6 492:0.54 		1000 like cho trump
93 1 2:0.34 190:0.37 326:0.36 349:0.51 492:0.54 493:0.6 494:0.6 495:0.6 496:0.54 497:0.54 498:0.6 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
94 1 21:0.21 39:0.37 77:0.51 97:0.4 132:0.62 159:0.54 171:0.51 197:0.39 213:0.54 220:0.37 499:0.6 500:0.54 501:0.6 502:0.51 503:0.6 504:0.6 505:0.54 506:0.6 507:0.95 508:0.6 509:0.95 510:0.6 511:0.48 512:0.6 513:0.6 514:0.51 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
95 1 21:0.21 38:0.4 101:0.37 		vậy có phải là tốt cho dân không
96 1 78:0.27 112:0.37 131:0.42 211:0.31 421:0.43 515:0.54 		hay quá mình cũng sắp mua nhà 
97 1 1:0.35 2:0.54 132:0.31 222:0.51 269:0.48 270:0.48 516:0.6 517:0.54 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
98 1 43:0.45 45:0.23 122:0.37 186:0.42 406:0.54 452:0.54 517:0.54 518:0.48 519:0.51 520:0.6 521:0.6 522:0.6 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
99 1 2:0.34 39:0.37 195:0.43 196:0.43 230:0.45 256:0.54 500:0.54 518:0.48 519:0.51 523:0.6 524:0.6 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
100 1 49:0.27 66:0.45 132:0.31 228:0.48 259:0.4 307:0.48 308:0.36 518:0.48 519:0.51 525:0.6 526:0.6 527:0.6 528:0.6 529:0.6 		tôi hoàn_toàn đồng_ý với cách làm của tp đà nẵng phàm làm người cần phải có một tấm_lòng bao_dung độ_lượng và vị_tha 
101 2 142:0.42 530:0.51 		không_thể chấp_nhận
102 2 39:0.37 132:0.62 197:0.39 220:0.37 275:0.39 317:0.51 347:0.45 402:0.48 433:0.51 531:0.51 532:0.6 533:0.6 534:0.6 535:0.6 536:0.6 537:0.6 538:0.6 539:0.6 540:0.6 541:0.6 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:0.28 129:0.51 184:0.42 262:0.37 436:0.36 445:0.42 542:0.6 543:0.51 544:0.51 545:0.72 546:0.54 547:0.6 548:0.54 549:0.6 550:0.54 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 551:0.42 552:0.45 		không hiểu nổi 
105 2 13:0.45 21:0.21 298:0.54 306:0.51 428:0.48 553:0.48 554:0.48 555:0.95 556:0.54 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:0.35 21:0.21 118:0.76 121:0.42 128:0.45 131:0.42 132:0.31 136:0.31 247:0.51 254:0.72 276:0.35 282:0.45 320:0.69 557:0.78 558:0.81 559:0.81 560:0.51 561:0.95 562:0.6 565:0.51 566:0.6 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 445:0.66 531:0.51 554:0.48 557:0.39 558:0.51 559:0.51 567:0.6 568:0.54 569:0.4 570:0.51 571:0.54 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:0.51 118:0.48 132:0.31 261:0.45 262:0.37 264:0.39 269:0.48 279:0.31 410:0.48 545:0.45 557:0.78 570:0.51 571:0.54 572:0.6 573:0.6 574:0.6 575:0.42 577:0.95 578:0.6 579:0.6 580:0.54 581:0.6 582:0.6 583:0.54 584:0.6 585:0.6 586:0.54 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:0.45 128:0.45 211:0.31 276:0.35 279:0.49 282:0.45 557:0.39 558:0.51 559:0.51 565:0.51 568:0.54 570:0.51 575:0.42 587:0.81 588:0.6 589:0.6 590:0.54 591:0.48 592:0.39 593:0.6 594:0.6 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 569:0.4 595:0.54 		thôi xong
111 2 21:0.42 61:0.45 62:0.51 68:0.43 76:0.37 91:0.54 101:0.37 119:0.48 128:0.45 142:0.42 162:0.54 186:0.42 197:0.39 340:0.42 364:0.45 447:0.91 505:0.54 514:0.51 515:0.54 586:0.54 596:0.42 597:0.45 598:0.96 599:0.6 600:0.95 601:0.6 602:0.6 603:0.54 604:0.54 605:0.6 606:0.54 607:0.6 608:0.54 609:0.51 610:0.51 611:0.6 612:0.6 613:0.6 614:0.43 615:0.54 616:0.86 617:0.6 618:0.6 619:0.6 620:0.6 621:0.54 622:0.54 623:0.6 624:0.6 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:0.27 112:0.37 421:0.43 625:0.6 626:0.6 627:0.48 628:0.6 629:0.54 630:0.6 631:0.6 632:0.6 633:0.6 634:0.6 635:0.95 636:0.6 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:0.21 54:0.54 91:0.34 97:0.4 122:0.37 136:0.31 205:0.86 282:0.45 317:0.51 326:0.36 340:0.42 598:0.48 603:0.54 604:1.09 614:0.43 637:0.54 638:0.96 639:0.6 640:0.54 641:0.95 642:0.95 643:0.6 645:0.69 646:0.6 647:0.6 648:0.95 649:0.45 650:0.54 651:0.6 652:0.6 653:0.48 654:0.6 655:0.6 656:0.6 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:0.48 49:0.54 62:0.51 68:0.69 78:0.27 97:0.4 128:0.28 132:0.31 143:0.54 155:0.51 276:0.35 279:0.49 324:0.43 339:0.51 388:0.54 433:0.51 457:0.51 592:0.39 597:1.28 609:0.51 610:0.51 614:0.43 638:0.48 650:0.54 653:0.48 657:0.54 658:0.6 659:0.6 660:0.6 661:0.6 662:0.6 663:0.6 664:0.6 665:0.6 666:0.6 667:0.6 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:0.21 39:0.37 42:0.4 49:0.27 66:0.28 68:0.43 91:0.54 95:0.54 101:0.37 128:0.45 136:0.31 137:0.54 276:0.35 304:0.76 450:0.76 484:0.45 552:0.45 592:0.39 597:0.91 621:0.54 629:0.54 649:0.45 668:0.6 669:0.96 670:0.54 671:0.6 672:0.6 673:0.6 674:0.43 675:0.6 676:0.6 677:0.6 678:0.6 679:0.6 680:0.54 681:0.6 682:0.54 683:0.48 684:0.6 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:0.48 592:0.39 669:0.48 685:0.51 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:0.4 279:0.31 436:0.36 543:0.51 614:0.43 686:0.48 688:0.6 689:0.6 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
