1 1 1:1 2:1 4:1 5:1 7:1 8:1 10:1 11:1 13:1 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
15 1 2:1 5:1 21:2 38:1 159:1 160:1 161:1 162:1 163:1 164:3 165:2 166:1 167:1 168:2 169:1 171:1 172:1 173:1 174:1 175:1 176:1 177:1 178:1 180:1 181:1 184:1 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:1 38:1 49:1 186:1 187:1 189:1 190:1 191:1 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:1 37:1 132:2 136:1 163:1 164:1 192:1 193:1 194:1 195:1 196:1 197:1 198:1 199:1 202:1 203:1 204:1 205:1 206:1 207:1 208:1 209:1 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:1 78:1 128:1 132:1 197:1 210:1 211:1 212:1 213:1 214:1 215:1 216:1 217:1 218:1 219:1 220:1 221:1 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:1 177:1 222:1 223:1 224:1 225:1 226:1 227:1 228:1 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:1 		rất hay
21 1 2:1 64:1 78:1 174:1 229:1 230:1 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:1 45:1 78:1 101:1 172:1 231:2 232:1 233:1 234:1 235:1 236:1 238:1 239:1 240:1 241:1 242:1 243:1 246:1 247:1 248:1 249:1 250:1 251:1 252:1 253:1 254:1 255:1 256:1 257:1 258:1 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:1 66:1 259:1 		tôi rất ủng_hộ cách làm này 
24 1 45:1 46:1 		ủng_hộ bộ_trưởng
25 1 45:1 46:1 259:1 260:1 261:1 262:1 263:1 264:1 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1 		hoan_nghênh
27 1 36:1 45:1 46:1 265:1 267:1 268:1 269:1 270:1 271:1 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:1 174:1 272:1 273:1 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:1 		rất dũng_cảm
30 1 211:1 		hay
31 1 69:1 269:1 275:1 276:1 		mang thai hộ rất nhân_đạo 
32 1 39:1 42:1 64:1 197:1 211:1 277:1 278:1 279:1 280:1 281:1 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:1 		tôi hưởng_ứng 
34 1 45:1 283:1 		nhiệt_liệt ủng_hộ
35 1 68:1 111:1 132:1 211:1 284:1 285:1 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:1 2:1 21:1 49:1 119:1 150:1 220:1 286:1 287:1 288:1 289:1 291:1 292:1 293:1 294:1 295:1 296:1 297:2 298:1 299:1 300:1 301:1 302:1 303:1 304:1 305:1 306:1 307:1 308:1 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:1 310:1 		hoàn_toàn đồng_ý 
38 1 1:1 2:1 311:1 312:1 313:1 314:1 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:1 		rất mạnh_mẽ
40 1 66:1 315:1 317:1 		tổng_thống phải vậy nói là làm
41 1 46:1 190:1 317:1 		bộ_trưởng nói rất đúng
42 1 91:1 108:1 112:1 145:1 190:1 211:1 319:1 320:1 322:1 323:1 324:1 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:1 		rất hay
44 1 325:1 326:1 		chính_xác luôn 
45 1 89:1 327:1 328:1 329:1 330:1 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:1 260:1 326:1 		quá thích luôn 
47 1 78:1 317:1 327:1 328:1 		bác nói chuẩn quá 
48 1 78:1 211:1 		hay quá
49 1 45:1 328:1 331:1 		luôn_luôn ủng_hộ bác
50 1 211:1 		hay phải vậy chứ 
51 1 45:1 220:1 230:1 329:1 333:1 334:2 335:1 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:1 59:1 264:1 333:1 335:1 336:1 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:1 309:1 333:1 335:1 337:2 338:1 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:1 5:1 36:1 38:1 66:1 101:1 184:1 230:1 264:1 335:1 340:1 341:1 342:1 343:1 344:1 345:1 346:1 347:1 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:2 220:1 264:2 348:1 349:1 350:1 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:1 351:1 		tôi tán_thành với chính_sách này
57 1 45:1 66:2 67:1 71:1 140:1 145:1 272:1 352:2 354:1 355:1 356:1 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:1 127:1 194:1 264:2 335:1 357:1 358:1 359:1 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:1 264:1 310:1 335:1 344:1 345:1 360:1 361:1 362:1 363:1 364:1 365:1 366:1 367:1 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:1 66:1 127:1 228:1 283:1 340:1 368:1 369:1 370:1 372:1 373:1 374:1 375:1 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:1 49:1 66:1 195:1 196:1 259:1 328:2 335:1 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:1 71:2 101:1 349:1 377:1 378:1 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:1 49:1 61:1 67:2 128:1 230:1 285:1 349:1 370:1 381:1 382:1 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:1 76:1 194:1 383:1 384:1 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:1 328:1 335:1 		cảm_ơn bác hải 
66 1 1:1 2:1 21:1 49:1 59:1 61:1 128:1 132:1 177:1 184:1 186:1 365:1 385:1 386:1 388:2 389:1 390:1 391:2 394:1 395:1 396:1 397:1 398:1 399:1 400:1 401:1 402:1 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:1 128:1 190:1 210:1 328:1 329:1 346:1 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:1 403:1 		rất ủng_hộ phương_án này
69 1 39:1 77:1 78:1 96:1 101:1 112:1 136:1 153:1 177:1 227:1 229:1 252:1 281:2 322:1 326:1 364:1 370:1 399:2 404:1 405:1 406:1 407:1 408:1 409:1 410:1 411:1 412:1 413:2 414:1 415:1 416:1 417:1 418:1 419:1 420:1 421:1 422:1 423:1 424:1 425:1 427:1 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:1 66:1 101:2 428:2 429:1 430:1 431:1 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:3 66:1 281:1 326:1 329:1 432:1 433:1 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:1 45:1 67:1 79:1 127:1 140:1 186:1 220:1 227:1 434:1 435:1 436:1 437:1 438:1 439:1 440:1 441:1 442:1 443:1 444:1 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:1 264:1 335:1 344:1 345:1 365:1 383:1 385:1 445:1 446:1 447:1 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:1 190:1 195:1 196:1 309:1 413:1 448:1 449:1 450:1 451:1 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:1 21:1 45:1 147:1 186:1 416:1 417:1 452:1 453:1 454:1 455:1 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:1 5:1 78:1 112:1 346:1 413:1 449:1 455:1 456:1 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:1 457:1 458:1 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:3 39:1 78:1 184:1 186:1 277:1 413:1 449:1 450:1 455:1 459:1 460:1 461:1 462:1 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:1 190:1 192:1 262:1 463:1 464:1 465:1 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:1 466:1 467:1 468:1 469:1 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:1 224:1 466:1 467:1 468:1 470:1 471:1 472:1 473:1 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:1 13:1 127:1 224:1 310:1 331:1 440:1 441:1 474:1 475:1 476:1 477:1 478:1 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:1 190:1 317:1 479:1 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:1 481:1 		vỗ_tay quá_trời
85 1 45:1 91:1 227:1 455:1 482:1 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:1 484:1 		rất chặt_chẽ và nghiêm_khắc
87 0 68:1 211:1 351:1 		chính_sách hay tôi tán_thành
88 1 45:1 		phải vậy tôi rất ủng_hộ
89 1 211:1 		hay
90 1 63:1 196:1 310:1 485:1 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:1 486:1 487:1 488:1 489:1 490:1 491:2 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:1 264:1 317:1 		ông nói đúng 
93 1 21:1 492:1 493:1 494:1 		1000 like cho trump
94 1 2:1 190:1 328:1 494:1 495:1 496:1 497:1 498:1 499:1 500:1 501:1 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:1 39:1 77:1 97:1 132:3 159:1 171:1 197:1 213:1 220:1 502:1 503:1 504:1 505:1 506:1 507:1 508:1 509:1 510:2 511:1 512:2 513:1 514:1 515:1 516:1 517:1 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:1 38:1 101:1 		vậy có phải là tốt cho dân không
97 1 78:1 112:1 131:1 211:1 423:1 518:1 		hay quá mình cũng sắp mua nhà 
98 1 1:1 2:2 132:1 222:1 269:1 270:1 519:1 520:1 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
99 1 43:1 45:1 122:1 186:1 408:1 454:1 520:1 521:1 522:1 523:1 524:1 525:1 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
100 1 2:1 39:1 195:1 196:1 230:1 256:1 503:1 521:1 522:1 526:1 527:1 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
101 2 142:1 528:1 		không_thể chấp_nhận
102 2 39:1 132:3 197:1 220:1 277:1 319:1 349:1 404:1 435:1 529:1 530:1 531:1 532:1 533:1 534:1 535:1 536:1 537:1 538:1 539:1 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:1 129:1 184:1 262:1 438:1 447:1 540:1 541:1 542:1 543:2 544:1 545:1 546:1 547:1 548:1 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 549:1 550:1 		không hiểu nổi 
105 2 13:1 21:1 300:1 308:1 430:1 551:1 552:1 553:2 554:1 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:1 21:1 118:2 121:1 128:2 131:1 132:1 136:1 247:1 254:2 278:1 284:1 322:2 555:3 556:2 557:2 558:1 559:2 560:1 563:1 564:1 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 447:2 529:1 552:1 555:1 556:1 557:1 565:1 566:1 567:1 568:1 569:1 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:1 118:1 132:1 261:1 262:1 264:1 269:1 281:1 412:1 543:1 555:3 568:1 569:1 570:1 571:1 572:1 573:1 575:2 576:1 577:1 578:1 579:1 580:1 581:1 582:1 583:1 584:1 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:1 128:2 211:1 278:1 281:2 284:1 555:1 556:1 557:1 563:1 566:1 568:1 573:1 585:2 586:1 587:1 588:1 589:1 590:1 591:1 592:1 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 567:1 593:1 		thôi xong
111 2 21:3 61:1 62:1 68:1 76:1 91:2 101:1 119:1 128:2 142:1 162:1 186:1 197:1 342:1 366:1 449:3 508:1 517:1 518:1 584:1 594:1 595:1 596:3 597:1 598:2 599:1 600:1 601:1 602:1 603:1 604:1 605:1 606:1 607:1 608:1 609:1 610:1 611:1 612:1 613:1 614:2 615:1 616:1 617:1 618:1 619:1 620:1 621:1 622:1 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:1 112:1 423:1 623:1 624:1 625:1 626:1 627:1 628:1 629:1 630:1 631:1 632:1 633:2 634:1 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:1 54:1 91:1 97:1 122:1 136:1 205:2 284:1 319:1 328:1 342:1 596:1 601:1 602:3 612:1 635:1 636:3 637:1 638:1 639:2 640:2 641:1 643:2 644:1 645:1 646:2 647:1 648:1 649:1 650:1 651:1 652:1 653:1 654:1 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:4 49:3 62:1 68:2 78:1 97:1 128:1 132:1 143:1 155:1 278:1 281:2 326:1 341:1 390:1 435:1 459:1 590:1 595:6 607:1 608:1 612:1 636:1 648:1 651:1 655:1 656:1 657:1 658:1 659:1 660:1 661:1 662:1 663:1 664:1 665:1 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:1 39:1 42:1 49:1 66:1 68:1 91:2 95:1 101:1 128:2 136:1 137:1 278:1 306:2 452:2 486:1 550:1 590:1 595:3 619:1 627:1 647:1 666:1 667:3 668:1 669:1 670:1 671:1 672:1 673:1 674:1 675:1 676:1 677:1 678:1 679:1 680:1 681:1 682:1 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:1 590:1 667:1 683:1 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:1 281:1 438:1 541:1 612:1 684:1 686:1 687:1 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
118 2 78:1 549:1 573:1 688:1 		qui_định khó hiểu quá
119 2 684:1 689:1 690:1 691:1 		bảo_hiểm_y_tế lại rơi vào vòng luẩn_quẩn rồi
120 2 636:1 647:1 693:1 		quy_định thời_gian là chưa phù_hợp
121 2 64:1 78:1 220:1 262:1 306:1 452:1 550:1 595:2 607:1 612:1 695:1 696:1 697:1 		quá nhiều điều phức_tạp kêu_gọi người_dân đóng bảo_hiểm 100 nhưng   làm_khó người_bệnh thất_vọng và không tin nổi vào bảo_hiểm
122 2 78:1 128:1 567:1 684:1 698:1 699:1 		ôi bảo_hiểm_y_tế ngao_ngán quá đi thôi 
123 2 216:1 219:1 405:1 700:1 701:1 702:1 703:1 704:1 		nói_tóm_lại điều_luật này không sát tình_hình thực_tế không hợp_tình không hợp hoàn_cảnh
124 2 21:1 136:1 189:2 449:3 541:1 567:2 596:1 604:1 612:1 620:1 684:1 698:1 705:1 706:1 707:1 709:1 710:1 711:1 		bảo_hiểm_y_tế còn nhiều nhiêu_khê lắm cứ lòng_vòng chuyển tuyến bệnh_viện tuyến dưới không tìm ra bệnh đến khi lên đến tuyến trên thì ôi thôi rồi giai_đoạn cuối chỉ khổ cho người_bệnh thôi 
125 2 136:1 668:1 712:1 713:1 714:1 715:1 716:1 717:1 		chờ kq xn máu đã 3h rồi còn gì rõ chán
126 2 683:1 718:1 		bó_tay cạn_lời
127 2 50:1 706:2 719:1 		thật_sự đau_đầu lắm lắm 
128 2 1:1 128:1 459:2 596:1 614:2 647:1 667:2 711:1 720:1 721:2 722:1 723:1 		thật khổ với cái quy_định này đã đi cấp_cứu vì bệnh thì ít có trường_hợp dưới 4 tiếng chỉ có trường_hợp cấp_cứu vì tai_nạn thì may_ra dưới 4 tiếng 
129 2 112:1 122:1 126:1 262:1 278:1 322:1 328:1 423:1 438:1 590:1 595:1 625:1 667:2 724:1 725:1 		  đã là bảo_hiểm cấp_cứu ai mà chọn giờ cấp_cứu được không biết các bác nhà mình nghĩ sao về vấn_đề này nửa 
130 2 78:1 549:1 550:1 726:1 727:1 728:1 		không hiểu nổi trung quốc quá vô_lối
131 2 78:1 222:1 729:1 730:1 731:1 		quá phẫn_nộ hành_động coi_thường pháp_luật 
132 2 142:1 528:1 732:2 733:1 734:1 735:1 		đánh nhau là gây_rối đánh phụ_nữ là không_thể chấp_nhận 
133 2 90:1 142:1 528:1 732:1 735:1 		không_thể chấp_nhận việc đánh phụ_nữ như_thế được 
134 2 36:1 66:1 132:1 278:1 310:2 317:1 337:2 736:1 737:1 738:1 739:1 740:2 741:1 742:1 743:1 744:1 		ai đồng_ý xóa lịch âm và gộp tết cổ_truyền và tết tây làm một thì kệ chứ em nói thật_là em không đồng_ý như_vậy
135 2 21:1 49:1 142:1 171:1 189:1 197:1 214:1 241:1 317:1 416:1 737:1 739:1 740:1 741:1 745:1 746:1 747:1 748:1 749:1 750:1 751:1 752:1 754:1 756:1 757:1 758:1 		tôi nói không với việc đổi gộp lịch nét truyền_thống văn_hoá đón tết_âm_lịch không_thể mai_một trong tôi dù tôi đã hơn_nữa đời người nơi đất_khách_quê_người tôi đang cố_gắng dạy cho con tôi nhớ đến ngày tết cổ_truyền đây 
136 2 20:1 121:1 308:1 505:2 529:1 555:1 643:1 759:1 760:1 761:1 762:1 763:1 764:1 765:1 766:1 767:1 		không cần_thiết muốn nhanh đầu_tư sân_bay tàu_bay là nhanh có quốc_lộ 1 rồi bay gio xe chạy cũng rần_rần xây thêm phí
137 2 42:1 132:1 430:1 486:1 549:1 647:1 718:1 768:1 769:1 770:1 771:1 		đọc luật một hồi kết_quả chẳng hiểu là quyền_hạn được quy_định ntn nữa bó_tay
138 2 78:1 549:1 573:1 606:1 772:1 		quá rườm_rà và cực_kỳ khó hiểu 
139 2 773:1 		không ổn 
140 2 262:1 278:1 281:1 366:1 697:1 774:1 775:1 		thất_vọng ai sẽ là trục ở châu_á đây ?  
141 2 262:1 697:1 776:1 777:1 		tôi đã bảo rồi mà thất_vọng trum  
142 2 567:1 778:1 		thế_là thôi rồi
143 2 21:1 49:1 97:1 128:1 145:1 337:1 779:1 780:1 781:1 782:1 783:1 		em phản_đối hôn_nhân đồng_tính vì nó đi ngược_lại cái tạo_hóa đã tạo ra cho mỗi người 
