1 1 1:0.09398836758205759 2:0.09131435962725405 4:0.1538461595773697 5:0.10753385082687394 7:0.17700231395261756 8:0.17700231395261756 10:0.17700231395261756 11:0.17700231395261756 13:0.12323538853918059 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
17 1 1:0.09398836758205759 37:0.2222222238779068 132:0.021938199769804143 136:0.021411620841456914 163:0.05000000074505806 164:0.15000000596046448 192:0.06451612710952759 193:0.07422677184154657 194:0.05883576354905106 195:0.04912511881703208 196:0.04912511881703208 197:0.043444755790975544 198:0.07422677184154657 199:0.04912511881703208 202:0.07422677184154657 203:0.07422677184154657 204:0.07422677184154657 205:0.06451612710952759 206:0.07422677184154657 207:0.07422677184154657 208:0.07422677184154657 209:0.07422677184154657 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:0.09131435962725405 78:0.10231319380510993 128:0.01957621349820366 132:0.021938199769804143 197:0.043444755790975544 210:0.10000000149011612 211:0.052287874478832784 212:0.1150515014976 213:0.10000000149011612 214:0.10000000149011612 215:0.1150515014976 216:0.10000000149011612 217:0.1150515014976 218:0.1150515014976 219:0.10000000149011612 220:0.06505150075254194 221:0.1150515014976 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:0.021938199769804143 177:0.04247425074131612 222:0.1658098889758195 223:0.2091845512945472 224:0.1658098889758195 225:0.2091845512945472 226:0.2091845512945472 227:0.1384435249180582 228:0.1658098889758195 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:0.052287874478832784 		rất hay
21 1 2:0.09131435962725405 64:0.19035984108916468 78:0.10231319380510993 174:0.040051500380012914 229:0.2222222238779068 230:0.17800666702935994 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.17800666702935994 45:0.07906056819772689 78:0.10231319380510993 101:0.026020599331673895 172:0.05000000074505806 231:0.09791616692774217 232:0.04895808346387109 233:0.04895808346387109 234:0.04895808346387109 235:0.042553190141916275 236:0.04895808346387109 238:0.04895808346387109 239:0.04895808346387109 240:0.04895808346387109 241:0.042553190141916275 242:0.04895808346387109 243:0.04895808346387109 246:0.04895808346387109 247:0.038806567374963574 248:0.04895808346387109 249:0.038806567374963574 250:0.04895808346387109 251:0.042553190141916275 252:0.03614829681996146 253:0.03408638171486776 254:0.03408638171486776 255:0.04895808346387109 256:0.042553190141916275 257:0.04895808346387109 258:0.042553190141916275 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.07906056819772689 66:0.12778454882117465 259:0.24265533248302046 		tôi rất ủng_hộ cách làm này 
24 1 45:0.07906056819772689 46:0.1145124858094653 		ủng_hộ bộ_trưởng
25 1 45:0.07906056819772689 46:0.1145124858094653 259:0.24265533248302046 260:0.20000000298023224 261:0.16020600152005166 262:0.1301030015050839 263:0.2301030029952 264:0.13467874897263335 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:0.1384435249180582 		hoan_nghênh
27 1 36:0.06067750286735345 45:0.07906056819772689 46:0.1145124858094653 265:0.2091845512945472 267:0.2091845512945472 268:0.1818181872367859 269:0.14564182173391552 270:0.1544518231790246 271:0.2091845512945472 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:0.1145124858094653 174:0.040051500380012914 272:0.22798859054716233 273:0.28762874945799766 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:1.1505149978319906 		rất dũng_cảm
30 1 211:0.052287874478832784 		hay
31 1 69:0.6666666865348816 269:0.14564182173391552 275:0.4000000059604645 276:0.3647817503111313 		mang thai hộ rất nhân_đạo 
32 1 39:0.14455888948415668 42:0.15532666878750026 64:0.19035984108916468 197:0.043444755790975544 211:0.052287874478832784 277:0.08417421685360227 278:0.07636554581558352 279:0.14381437472899883 280:0.14381437472899883 281:0.06855687581300353 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:1.1505149978319906 		tôi hưởng_ứng 
34 1 45:0.07906056819772689 283:1.0 		nhiệt_liệt ủng_hộ
35 1 68:0.4659800167779655 111:0.03999999910593033 132:0.021938199769804143 211:0.052287874478832784 284:0.26701000651217843 285:0.3333333432674408 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:0.09398836758205759 2:0.09131435962725405 21:0.02575880096955866 49:0.08898279326901264 119:0.0339793993272216 150:0.06060606241226196 220:0.06505150075254194 286:0.06219000138870302 287:0.06219000138870302 288:0.06219000138870302 289:0.06219000138870302 291:0.06219000138870302 292:0.054054055362939835 293:0.06219000138870302 294:0.054054055362939835 295:0.06219000138870302 296:0.06219000138870302 297:0.12438000277740605 298:0.054054055362939835 299:0.06219000138870302 300:0.054054055362939835 301:0.054054055362939835 302:0.043298919732996294 303:0.054054055362939835 304:0.06219000138870302 305:0.06219000138870302 306:0.045918109337176646 307:0.06219000138870302 308:0.049294831582219735 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:0.9119543621886493 310:0.6505149978319906 		hoàn_toàn đồng_ý 
38 1 1:0.09398836758205759 2:0.09131435962725405 311:0.3835050107066698 312:0.30398479645566906 313:0.3835050107066698 314:0.3835050107066698 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:0.22798859054716233 		rất mạnh_mẽ
40 1 66:0.12778454882117465 315:0.3835050107066698 317:0.22446458496583843 		tổng_thống phải vậy nói là làm
41 1 46:0.1145124858094653 190:0.10007923416393273 317:0.22446458496583843 		bộ_trưởng nói rất đúng
42 1 91:0.045657179813627026 108:0.03999999910593033 112:0.026020599331673895 145:0.04614784163935273 190:0.10007923416393273 211:0.052287874478832784 319:0.10728874889246401 320:0.13535470613152858 322:0.08958110202273428 323:0.10728874889246401 324:0.13535470613152858 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:0.052287874478832784 		rất hay
44 1 325:1.1505149978319906 326:0.7614393643566587 		chính_xác luôn 
45 1 89:0.07692307978868484 327:0.2857142984867096 328:0.17994819466773954 329:0.2288657232779464 330:0.3287185855040054 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.10231319380510993 260:0.20000000298023224 326:0.7614393643566587 		quá thích luôn 
47 1 78:0.10231319380510993 317:0.22446458496583843 327:0.2857142984867096 328:0.17994819466773954 		bác nói chuẩn quá 
48 1 78:0.10231319380510993 211:0.052287874478832784 		hay quá
49 1 45:0.07906056819772689 328:0.17994819466773954 331:0.6666666865348816 		luôn_luôn ủng_hộ bác
50 1 211:0.052287874478832784 		hay phải vậy chứ 
51 1 45:0.07906056819772689 220:0.06505150075254194 230:0.17800666702935994 329:0.2288657232779464 333:0.21237125054200234 334:0.5752574989159953 335:0.16834843370720454 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.07906056819772689 59:0.18239087515556565 264:0.13467874897263335 333:0.21237125054200234 335:0.16834843370720454 336:0.3287185855040054 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.07906056819772689 309:0.9119543621886493 333:0.21237125054200234 335:0.16834843370720454 337:0.4351082276546576 338:0.3287185855040054 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:0.09398836758205759 5:0.10753385082687394 36:0.06067750286735345 38:0.15532666878750026 66:0.12778454882117465 101:0.026020599331673895 184:0.03639829933007615 230:0.17800666702935994 264:0.13467874897263335 335:0.16834843370720454 340:0.08695652335882187 341:0.07930038079783679 342:0.06330139037507893 343:0.10004478428365239 344:0.07930038079783679 345:0.07930038079783679 346:0.07930038079783679 347:0.10004478428365239 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:0.040051500380012914 220:0.06505150075254194 264:0.13467874897263335 348:0.3287185855040054 349:0.2288657232779464 350:0.2857142984867096 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:0.4659800167779655 351:0.4000000059604645 		tôi tán_thành với chính_sách này
57 1 45:0.07906056819772689 66:0.12778454882117465 67:0.18199149393849617 71:0.4247425010840047 140:0.11053992598387967 145:0.04614784163935273 272:0.22798859054716233 352:0.27070941226305717 354:0.13535470613152858 355:0.13535470613152858 356:0.13535470613152858 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:0.06513960021115615 127:0.029118638379307088 194:0.05883576354905106 264:0.13467874897263335 335:0.16834843370720454 357:0.2091845512945472 358:0.2091845512945472 359:0.1818181872367859 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:0.0572164308194866 264:0.13467874897263335 310:0.6505149978319906 335:0.16834843370720454 344:0.07930038079783679 345:0.07930038079783679 360:0.10526315867900848 361:0.08431894754022312 362:0.12110684277936794 363:0.12110684277936794 364:0.08941947457864903 365:0.06247824419875601 366:0.08431894754022312 367:0.10526315867900848 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.07906056819772689 66:0.12778454882117465 127:0.029118638379307088 228:0.1658098889758195 283:1.0 340:0.08695652335882187 368:0.10957285897733357 369:0.10957285897733357 370:0.08685279801667839 372:0.10957285897733357 373:0.10957285897733357 374:0.095238097012043 375:0.10957285897733357 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.07906056819772689 49:0.08898279326901264 66:0.12778454882117465 195:0.04912511881703208 196:0.04912511881703208 259:0.24265533248302046 328:0.17994819466773954 335:0.16834843370720454 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.07906056819772689 71:0.4247425010840047 101:0.026020599331673895 349:0.2288657232779464 377:0.3835050107066698 378:0.3835050107066698 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.07906056819772689 49:0.08898279326901264 61:0.16020600152005166 67:0.18199149393849617 128:0.01957621349820366 230:0.17800666702935994 285:0.3333333432674408 349:0.2288657232779464 370:0.08685279801667839 381:0.13535470613152858 382:0.11764705926179886 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:0.19035984108916468 76:0.14455888948415668 194:0.05883576354905106 383:0.25 384:0.25 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:0.040051500380012914 328:0.17994819466773954 335:0.16834843370720454 		cảm_ơn bác hải 
66 1 1:0.09398836758205759 2:0.09131435962725405 21:0.02575880096955866 49:0.08898279326901264 59:0.18239087515556565 61:0.16020600152005166 128:0.01957621349820366 132:0.021938199769804143 177:0.04247425074131612 184:0.03639829933007615 186:0.11199476967274316 365:0.06247824419875601 385:0.054054055362939835 386:0.06219000138870302 388:0.12438000277740605 389:0.06219000138870302 390:0.054054055362939835 391:0.12438000277740605 394:0.049294831582219735 395:0.06219000138870302 396:0.06219000138870302 397:0.06219000138870302 398:0.06219000138870302 399:0.054054055362939835 400:0.06219000138870302 401:0.054054055362939835 402:0.06219000138870302 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:0.12778454882117465 128:0.01957621349820366 190:0.10007923416393273 210:0.10000000149011612 328:0.17994819466773954 329:0.2288657232779464 346:0.07930038079783679 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.07906056819772689 403:0.5752574989159953 		rất ủng_hộ phương_án này
69 1 39:0.14455888948415668 77:0.20265652644071974 78:0.10231319380510993 96:0.05599738483637158 101:0.026020599331673895 112:0.026020599331673895 136:0.021411620841456914 153:0.06060606241226196 177:0.04247425074131612 227:0.1384435249180582 229:0.2222222238779068 252:0.03614829681996146 281:0.06855687581300353 322:0.08958110202273428 326:0.7614393643566587 364:0.08941947457864903 370:0.08685279801667839 399:0.054054055362939835 404:0.03614829681996146 405:0.042553190141916275 406:0.04895808346387109 407:0.04895808346387109 408:0.042553190141916275 409:0.04895808346387109 410:0.04895808346387109 411:0.04895808346387109 412:0.03614829681996146 413:0.06817276342973552 414:0.04895808346387109 415:0.04895808346387109 416:0.03240167405300876 417:0.042553190141916275 418:0.04895808346387109 419:0.04895808346387109 420:0.04895808346387109 421:0.04895808346387109 422:0.04895808346387109 423:0.03240167405300876 424:0.04895808346387109 425:0.04895808346387109 427:0.04895808346387109 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.07906056819772689 66:0.12778454882117465 101:0.026020599331673895 428:0.3835050107066698 429:0.1917525053533349 430:0.1415808379141059 431:0.1666666716337204 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.07906056819772689 66:0.12778454882117465 281:0.06855687581300353 326:0.7614393643566587 329:0.2288657232779464 432:0.2556700014231101 433:0.2556700014231101 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:0.0572164308194866 45:0.07906056819772689 67:0.18199149393849617 79:0.07015033816627667 127:0.029118638379307088 140:0.11053992598387967 186:0.11199476967274316 220:0.06505150075254194 227:0.1384435249180582 434:0.09204119776927812 435:0.07295634734439048 436:0.09204119776927812 437:0.09204119776927812 438:0.05038549112835653 439:0.09204119776927812 440:0.07999999821186066 441:0.0679587986544432 442:0.07999999821186066 443:0.09204119776927812 444:0.09204119776927812 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:0.03639829933007615 264:0.13467874897263335 335:0.16834843370720454 344:0.07930038079783679 345:0.07930038079783679 365:0.06247824419875601 383:0.25 385:0.054054055362939835 445:0.14381437472899883 446:0.14381437472899883 447:0.09099574696924809 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:0.12778454882117465 190:0.10007923416393273 195:0.04912511881703208 196:0.04912511881703208 309:0.9119543621886493 413:0.06817276342973552 448:0.14381437472899883 449:0.10012874945799764 450:0.125 451:0.14381437472899883 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:0.10753385082687394 21:0.02575880096955866 45:0.07906056819772689 147:0.055269962991939835 186:0.11199476967274316 416:0.03240167405300876 417:0.042553190141916275 452:0.13069000520212182 453:0.17700231395261756 454:0.1538461595773697 455:0.11714452195730546 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:0.09131435962725405 5:0.10753385082687394 78:0.10231319380510993 112:0.026020599331673895 346:0.07930038079783679 413:0.06817276342973552 449:0.10012874945799764 455:0.11714452195730546 456:0.17700231395261756 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:0.1384435249180582 457:0.30398479645566906 458:0.3835050107066698 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:0.09131435962725405 39:0.14455888948415668 78:0.10231319380510993 184:0.03639829933007615 186:0.11199476967274316 277:0.08417421685360227 413:0.06817276342973552 449:0.10012874945799764 450:0.125 455:0.11714452195730546 459:0.09599519673507777 460:0.12110684277936794 461:0.12110684277936794 462:0.12110684277936794 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:0.06513960021115615 190:0.10007923416393273 192:0.06451612710952759 262:0.1301030015050839 463:0.18239087515556565 464:0.18239087515556565 465:0.2301030029952 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:0.1145124858094653 466:0.2857142984867096 467:0.2857142984867096 468:0.2857142984867096 469:0.3287185855040054 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:0.1145124858094653 224:0.1658098889758195 466:0.2857142984867096 467:0.2857142984867096 468:0.2857142984867096 470:0.2091845512945472 471:0.2091845512945472 472:0.2091845512945472 473:0.2091845512945472 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:0.10753385082687394 13:0.12323538853918059 127:0.029118638379307088 224:0.1658098889758195 310:0.6505149978319906 331:0.6666666865348816 440:0.07999999821186066 441:0.0679587986544432 474:0.1150515014976 475:0.1150515014976 476:0.1150515014976 477:0.1150515014976 478:0.1150515014976 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:0.1145124858094653 190:0.10007923416393273 317:0.22446458496583843 479:0.3287185855040054 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:1.1505149978319906 481:1.1505149978319906 		vỗ_tay quá_trời
85 1 45:0.07906056819772689 91:0.045657179813627026 227:0.1384435249180582 455:0.11714452195730546 482:0.2301030029952 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:0.5752574989159953 484:0.5752574989159953 		rất chặt_chẽ và nghiêm_khắc
87 0 68:0.4659800167779655 211:0.052287874478832784 351:0.4000000059604645 		chính_sách hay tôi tán_thành
88 1 45:0.07906056819772689 		phải vậy tôi rất ủng_hộ
89 1 211:0.052287874478832784 		hay
90 1 63:0.5 196:0.04912511881703208 310:0.6505149978319906 485:0.28762874945799766 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.07906056819772689 486:0.16020600152005166 487:0.18239087515556565 488:0.2301030029952 489:0.2301030029952 490:0.2301030029952 491:0.4602060059904 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:0.10007923416393273 264:0.13467874897263335 317:0.22446458496583843 		ông nói đúng 
93 1 21:0.02575880096955866 492:0.5752574989159953 493:0.5752574989159953 494:0.5 		1000 like cho trump
94 1 2:0.09131435962725405 190:0.10007923416393273 328:0.17994819466773954 494:0.5 495:0.1643592927520027 496:0.1643592927520027 497:0.1643592927520027 498:0.1428571492433548 499:0.1428571492433548 500:0.1643592927520027 501:0.1428571492433548 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.02575880096955866 39:0.14455888948415668 77:0.20265652644071974 97:0.05376692541343697 132:0.021938199769804143 159:0.05000000074505806 171:0.04559771878889141 197:0.043444755790975544 213:0.10000000149011612 220:0.06505150075254194 502:0.08522333380770336 503:0.07407407462596893 504:0.08522333380770336 505:0.06755217548023991 506:0.08522333380770336 507:0.08522333380770336 508:0.07407407462596893 509:0.08522333380770336 510:0.17044666761540672 511:0.08522333380770336 512:0.17044666761540672 513:0.08522333380770336 514:0.0629248154442345 515:0.08522333380770336 516:0.08522333380770336 517:0.06755217548023991 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.02575880096955866 38:0.15532666878750026 101:0.026020599331673895 		vậy có phải là tốt cho dân không
97 1 78:0.10231319380510993 112:0.026020599331673895 131:0.029118638379307088 211:0.052287874478832784 423:0.03240167405300876 518:0.2857142984867096 		hay quá mình cũng sắp mua nhà 
98 1 1:0.09398836758205759 2:0.09131435962725405 132:0.021938199769804143 222:0.1658098889758195 269:0.14564182173391552 270:0.1544518231790246 519:0.2301030029952 520:0.20000000298023224 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
