1 1 1:-0.13922152088754197 2:-0.135260611001453 4:-0.22788667225621362 5:-0.15928594829504655 7:-0.2621870342367972 8:-0.2621870342367972 10:-0.2621870342367972 11:-0.2621870342367972 13:-0.18254406008927387 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
15 1 2:-0.135260611001453 5:-0.15928594829504655 21:-0.32251110405595795 38:0.06396623127457968 159:-1.2041199697129406 160:-1.3853580843437405 161:-1.3853580843437405 162:-1.2041199697129406 163:-1.2041199697129406 164:-0.2498774387019762 165:-0.6926790347263219 166:-1.3853580843437405 167:-1.3853580843437405 168:-0.6020599783849785 169:-1.3853580843437405 171:-1.0981024589781805 172:-1.2041199697129406 173:-1.3853580843437405 174:-0.9645362141180699 175:-1.3853580843437405 176:-1.3853580843437405 177:-1.0228818550821406 178:-1.2041199697129406 180:-1.3853580843437405 181:-1.2041199697129406 184:-0.8765583686769393 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:-0.8943160238554868 38:0.06396623127457968 49:-0.04051559033293016 186:-0.16589374373032306 187:-0.2621870342367972 189:-0.19358631027563006 190:-0.14824369810869037 191:-0.2621870342367972 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:-0.13922152088754197 37:0.09151498759284227 132:-0.7667072071964306 136:-0.748304062738001 163:-1.2041199697129406 164:-0.2498774387019762 192:-0.9827234135545142 193:-1.1306380260151183 194:-0.8961989038159592 195:-0.7482842913553551 196:-0.7482842913553551 197:-0.6617597897571995 198:-1.1306380260151183 199:-0.7482842913553551 202:-1.1306380260151183 203:-1.1306380260151183 204:-1.1306380260151183 205:-0.9827234135545142 206:-1.1306380260151183 207:-1.1306380260151183 208:-1.1306380260151183 209:-1.1306380260151183 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:-0.135260611001453 78:0.04213435766353873 128:-0.6841593264798133 132:-0.7667072071964306 197:-0.6617597897571995 210:-0.6020599783849785 211:-0.31480436109427484 212:-0.6926790347263219 213:-0.6020599783849785 214:-0.6020599783849785 215:-0.6926790347263219 216:-0.6020599783849785 217:-0.6926790347263219 218:-0.6926790347263219 219:-0.6020599783849785 220:-0.3916490455338326 221:-0.6926790347263219 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:-0.7667072071964306 177:-1.0228818550821406 222:-0.0754964559786681 223:-0.09524578036795688 224:-0.0754964559786681 225:-0.09524578036795688 226:-0.09524578036795688 227:-0.06303602004119345 228:-0.0754964559786681 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:-0.31480436109427484 		rất hay
21 1 2:-0.135260611001453 64:0.14758219740930006 78:0.04213435766353873 174:-0.9645362141180699 229:0.09151498759284227 230:0.07330625011468372 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.07330625011468372 45:-0.03599780895733318 78:0.04213435766353873 101:-0.9093809543399517 172:-1.2041199697129406 231:-0.8538383131577587 232:-1.5465173627751778 233:-1.5465173627751778 234:-1.5465173627751778 235:-1.344195743375277 236:-1.5465173627751778 238:-1.5465173627751778 239:-1.5465173627751778 240:-1.5465173627751778 241:-1.344195743375277 242:-1.5465173627751778 243:-1.5465173627751778 246:-1.5465173627751778 247:-1.225845171806498 248:-1.5465173627751778 249:-1.225845171806498 250:-1.5465173627751778 251:-1.344195743375277 252:-1.141874123975376 253:-1.07674111048744 254:-1.07674111048744 255:-1.5465173627751778 256:-1.344195743375277 257:-1.5465173627751778 258:-1.344195743375277 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:-0.03599780895733318 66:0.0990688183079093 259:0.32299670181264856 		tôi rất ủng_hộ cách làm này 
24 1 45:-0.03599780895733318 46:-0.05213975413241436 		ủng_hộ bộ_trưởng
25 1 45:-0.03599780895733318 46:-0.05213975413241436 259:0.32299670181264856 260:1.2942984017882964E-8 261:1.0367718431723768E-8 262:8.419605220332626E-9 263:1.4891097229274108E-8 264:8.715724347631912E-9 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:-0.06303602004119345 		hoan_nghênh
27 1 36:-0.7597080494637637 45:-0.03599780895733318 46:-0.05213975413241436 265:-0.09524578036795688 267:-0.09524578036795688 268:-0.08278534443048224 269:-0.06631354409019037 270:-0.07032490849300761 271:-0.09524578036795688 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:-0.05213975413241436 174:-0.9645362141180699 272:0.17675501820491168 273:0.22299284681172452 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:1.6083509460465621 		rất dũng_cảm
30 1 211:-0.31480436109427484 		hay
31 1 69:1.045757516446643 269:-0.06631354409019037 275:0.6020600042709465 276:0.5490512471942065 		mang thai hộ rất nhân_đạo 
32 1 39:0.059531871955552436 42:0.06396623127457968 64:0.14758219740930006 197:-0.6617597897571995 211:-0.31480436109427484 277:-0.27490623494773353 278:-0.24940374219819422 279:-0.46968620280569456 280:-0.46968620280569456 281:-0.22390125283031473 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:1.6083509460465621 		tôi hưởng_ứng 
34 1 45:-0.03599780895733318 283:1.3979400086720375 		nhiệt_liệt ủng_hộ
35 1 68:0.7309531358051344 111:-1.3979400280865142 132:-0.7667072071964306 211:-0.31480436109427484 284:0.355415026621936 285:0.44369752511868077 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:-0.13922152088754197 2:-0.135260611001453 21:-0.32251110405595795 49:-0.04051559033293016 119:-1.1875290877898197 150:-1.037027853869807 220:-0.3916490455338326 286:-1.307449186468111 287:-1.307449186468111 288:-1.307449186468111 289:-1.307449186468111 291:-1.307449186468111 292:-1.1364034271016408 293:-1.307449186468111 294:-1.1364034271016408 295:-1.307449186468111 296:-1.307449186468111 297:-0.6147701368506924 298:-1.1364034271016408 299:-1.307449186468111 300:-1.1364034271016408 301:-1.1364034271016408 302:-0.9102932322837606 303:-1.1364034271016408 304:-1.307449186468111 305:-1.307449186468111 306:-0.9653576677351706 307:-1.307449186468111 308:-1.036348062551472 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:1.274857488986503 310:0.9093809417105434 		hoàn_toàn đồng_ý 
38 1 1:-0.13922152088754197 2:-0.135260611001453 311:0.5104806571499786 312:0.40463189352428874 313:0.5104806571499786 314:0.5104806571499786 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:0.17675501820491168 		rất mạnh_mẽ
40 1 66:0.0990688183079093 315:0.5104806571499786 317:0.2987831335739718 		tổng_thống phải vậy nói là làm
41 1 46:-0.05213975413241436 190:-0.14824369810869037 317:0.2987831335739718 		bộ_trưởng nói rất đúng
42 1 91:-0.4926092943636468 108:-1.3979400280865142 112:-0.9093809543399517 145:-0.7896338298707758 190:-0.14824369810869037 211:-0.31480436109427484 319:-0.42031779527431934 320:-0.5302698768370445 322:-0.3509457579580767 323:-0.42031779527431934 324:-0.5302698768370445 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:-0.31480436109427484 		rất hay
44 1 325:1.6083509460465621 326:1.064446551611978 		chính_xác luôn 
45 1 89:-0.8299466635841761 327:0.309803958800438 328:0.19512031208214384 329:0.24816226377459902 330:0.356434100987628 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.04213435766353873 260:1.2942984017882964E-8 326:1.064446551611978 		quá thích luôn 
47 1 78:0.04213435766353873 317:0.2987831335739718 327:0.309803958800438 328:0.19512031208214384 		bác nói chuẩn quá 
48 1 78:0.04213435766353873 211:-0.31480436109427484 		hay quá
49 1 45:-0.03599780895733318 328:0.19512031208214384 331:1.045757516446643 		luôn_luôn ủng_hộ bác
50 1 211:-0.31480436109427484 		hay phải vậy chứ 
51 1 45:-0.03599780895733318 220:-0.3916490455338326 230:0.07330625011468372 329:0.24816226377459902 333:0.16464720522050133 334:0.9156718964291434 335:0.13051719120360897 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:-0.03599780895733318 59:1.180341073484634E-8 264:8.715724347631912E-9 333:0.16464720522050133 335:0.13051719120360897 336:0.356434100987628 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:-0.03599780895733318 309:1.274857488986503 333:0.16464720522050133 335:0.13051719120360897 337:0.694329106565521 338:0.356434100987628 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:-0.13922152088754197 5:-0.15928594829504655 36:-0.7597080494637637 38:0.06396623127457968 66:0.0990688183079093 101:-0.9093809543399517 184:-0.8765583686769393 230:0.07330625011468372 264:8.715724347631912E-9 335:0.13051719120360897 340:-0.7234556558564558 341:-0.6597585412083451 342:-0.5266511024302838 343:-0.8323465823292315 344:-0.6597585412083451 345:-0.6597585412083451 346:-0.6597585412083451 347:-0.8323465823292315 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:-0.9645362141180699 220:-0.3916490455338326 264:8.715724347631912E-9 348:0.356434100987628 349:0.24816226377459902 350:0.309803958800438 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:0.7309531358051344 351:0.6020600042709465 		tôi tán_thành với chính_sách này
57 1 45:-0.03599780895733318 66:0.0990688183079093 67:0.14109438435948235 71:0.676088138259007 140:-0.3966708396569079 145:-0.7896338298707758 272:0.17675501820491168 352:0.16240917278037453 354:-0.5302698768370445 355:-0.5302698768370445 356:-0.5302698768370445 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:-0.8155753991302194 127:-1.0176527765915522 194:-0.8961989038159592 264:8.715724347631912E-9 335:0.13051719120360897 357:-0.09524578036795688 358:-0.09524578036795688 359:-0.08278534443048224 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:-0.7163739607111894 264:8.715724347631912E-9 310:0.9093809417105434 335:0.13051719120360897 344:-0.6597585412083451 345:-0.6597585412083451 360:-0.5575071954341659 361:-0.4465799863412682 362:-0.6414203897462586 363:-0.6414203897462586 364:-0.4735940011220733 365:-0.3309046691741125 366:-0.4465799863412682 367:-0.5575071954341659 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:-0.03599780895733318 66:0.0990688183079093 127:-1.0176527765915522 228:-0.0754964559786681 283:1.3979400086720375 340:-0.7234556558564558 368:-0.74143624375057 369:-0.74143624375057 370:-0.5876985680736323 372:-0.74143624375057 373:-0.74143624375057 374:-0.6444385732891087 375:-0.74143624375057 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:-0.03599780895733318 49:-0.04051559033293016 66:0.0990688183079093 195:-0.7482842913553551 196:-0.7482842913553551 259:0.32299670181264856 328:0.19512031208214384 335:0.13051719120360897 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:-0.03599780895733318 71:0.676088138259007 101:-0.9093809543399517 349:0.24816226377459902 377:0.5104806571499786 378:0.5104806571499786 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:-0.03599780895733318 49:-0.04051559033293016 61:1.0367718431723768E-8 67:0.14109438435948235 128:-0.6841593264798133 230:0.07330625011468372 285:0.44369752511868077 349:0.24816226377459902 370:-0.5876985680736323 381:-0.5302698768370445 382:-0.4608978395208019 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:0.14758219740930006 76:0.059531871955552436 194:-0.8961989038159592 383:0.19382002601611292 384:0.19382002601611292 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:-0.9645362141180699 328:0.19512031208214384 335:0.13051719120360897 		cảm_ơn bác hải 
66 1 1:-0.13922152088754197 2:-0.135260611001453 21:-0.32251110405595795 49:-0.04051559033293016 59:1.180341073484634E-8 61:1.0367718431723768E-8 128:-0.6841593264798133 132:-0.7667072071964306 177:-1.0228818550821406 184:-0.8765583686769393 186:-0.16589374373032306 365:-0.3309046691741125 385:-1.1364034271016408 386:-1.307449186468111 388:-0.6147701368506924 389:-1.307449186468111 390:-1.1364034271016408 391:-0.6147701368506924 394:-1.036348062551472 395:-1.307449186468111 396:-1.307449186468111 397:-1.307449186468111 398:-1.307449186468111 399:-1.1364034271016408 400:-1.307449186468111 401:-1.1364034271016408 402:-1.307449186468111 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:0.0990688183079093 128:-0.6841593264798133 190:-0.14824369810869037 210:-0.6020599783849785 328:0.19512031208214384 329:0.24816226377459902 346:-0.6597585412083451 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:-0.03599780895733318 403:0.9156718964291434 		rất ủng_hộ phương_án này
69 1 39:0.059531871955552436 77:0.08345749214093262 78:0.04213435766353873 96:-0.6041729327798189 101:-0.9093809543399517 112:-0.9093809543399517 136:-0.748304062738001 153:-1.037027853869807 177:-1.0228818550821406 227:-0.06303602004119345 229:0.09151498759284227 252:-1.141874123975376 281:-0.22390125283031473 322:-0.3509457579580767 326:1.064446551611978 364:-0.4735940011220733 370:-0.5876985680736323 399:-1.1364034271016408 404:-1.141874123975376 405:-1.344195743375277 406:-1.5465173627751778 407:-1.5465173627751778 408:-1.344195743375277 409:-1.5465173627751778 410:-1.5465173627751778 411:-1.5465173627751778 412:-1.141874123975376 413:-0.5944729982445457 414:-1.5465173627751778 415:-1.5465173627751778 416:-1.023523552406597 417:-1.344195743375277 418:-1.5465173627751778 419:-1.5465173627751778 420:-1.5465173627751778 421:-1.5465173627751778 422:-1.5465173627751778 423:-1.023523552406597 424:-1.5465173627751778 425:-1.5465173627751778 427:-1.5465173627751778 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:-0.03599780895733318 66:0.0990688183079093 101:-0.9093809543399517 428:0.5104806571499786 429:-0.18219839246744046 430:-0.13452653995112301 431:-0.15836246620928174 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:-0.03599780895733318 66:0.0990688183079093 281:-0.22390125283031473 326:1.064446551611978 329:0.24816226377459902 432:0.10528936575197358 433:0.10528936575197358 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:-0.7163739607111894 45:-0.03599780895733318 67:0.14109438435948235 79:-0.7568734802395048 127:-1.0176527765915522 140:-0.3966708396569079 186:-0.16589374373032306 220:-0.3916490455338326 227:-0.06303602004119345 434:-0.9156719187657897 435:-0.7258062713008238 436:-0.9156719187657897 437:-0.9156719187657897 438:-0.5012600928457122 439:-0.9156719187657897 440:-0.7958800367585517 441:-0.6760881547513137 442:-0.7958800367585517 443:-0.9156719187657897 444:-0.9156719187657897 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:-0.8765583686769393 264:8.715724347631912E-9 335:0.13051719120360897 344:-0.6597585412083451 345:-0.6597585412083451 365:-0.3309046691741125 383:0.19382002601611292 385:-1.1364034271016408 445:-0.46968620280569456 446:-0.46968620280569456 447:-0.29718480469001346 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:0.0990688183079093 190:-0.14824369810869037 195:-0.7482842913553551 196:-0.7482842913553551 309:1.274857488986503 413:-0.5944729982445457 448:-0.46968620280569456 449:-0.3270124576436147 450:-0.4082399653118496 451:-0.46968620280569456 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:-0.15928594829504655 21:-0.32251110405595795 45:-0.03599780895733318 147:-0.9457220750477037 186:-0.16589374373032306 416:-1.023523552406597 417:-1.344195743375277 452:-0.19358631027563006 453:-0.2621870342367972 454:-0.22788667225621362 455:-0.1735218828681255 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:-0.135260611001453 5:-0.15928594829504655 78:0.04213435766353873 112:-0.9093809543399517 346:-0.6597585412083451 413:-0.5944729982445457 449:-0.3270124576436147 455:-0.1735218828681255 456:-0.2621870342367972 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:-0.06303602004119345 457:0.40463189352428874 458:0.5104806571499786 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:-0.135260611001453 39:0.059531871955552436 78:0.04213435766353873 184:-0.8765583686769393 186:-0.16589374373032306 277:-0.27490623494773353 413:-0.5944729982445457 449:-0.3270124576436147 450:-0.4082399653118496 455:-0.1735218828681255 459:-0.5084211188277474 460:-0.6414203897462586 461:-0.6414203897462586 462:-0.6414203897462586 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:-0.8155753991302194 190:-0.14824369810869037 192:-0.9827234135545142 262:8.419605220332626E-9 463:1.180341073484634E-8 464:1.180341073484634E-8 465:1.4891097229274108E-8 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:-0.05213975413241436 466:0.309803958800438 467:0.309803958800438 468:0.309803958800438 469:0.356434100987628 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:-0.05213975413241436 224:-0.0754964559786681 466:0.309803958800438 467:0.309803958800438 468:0.309803958800438 470:-0.09524578036795688 471:-0.09524578036795688 472:-0.09524578036795688 473:-0.09524578036795688 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:-0.15928594829504655 13:-0.18254406008927387 127:-1.0176527765915522 224:-0.0754964559786681 310:0.9093809417105434 331:1.045757516446643 440:-0.7958800367585517 441:-0.6760881547513137 474:-0.6926790347263219 475:-0.6926790347263219 476:-0.6926790347263219 477:-0.6926790347263219 478:-0.6926790347263219 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:-0.05213975413241436 190:-0.14824369810869037 317:0.2987831335739718 479:0.356434100987628 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:1.6083509460465621 481:1.6083509460465621 		vỗ_tay quá_trời
85 1 45:-0.03599780895733318 91:-0.4926092943636468 227:-0.06303602004119345 455:-0.1735218828681255 482:1.4891097229274108E-8 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:0.9156718964291434 484:0.9156718964291434 		rất chặt_chẽ và nghiêm_khắc
87 0 68:0.7309531358051344 211:-0.31480436109427484 351:0.6020600042709465 		chính_sách hay tôi tán_thành
88 1 45:-0.03599780895733318 		phải vậy tôi rất ủng_hộ
89 1 211:-0.31480436109427484 		hay
90 1 63:0.7958800173440752 196:-0.7482842913553551 310:0.9093809417105434 485:0.22299284681172452 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:-0.03599780895733318 486:1.0367718431723768E-8 487:1.180341073484634E-8 488:1.4891097229274108E-8 489:1.4891097229274108E-8 490:1.4891097229274108E-8 491:0.6926790645085164 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:-0.14824369810869037 264:8.715724347631912E-9 317:0.2987831335739718 		ông nói đúng 
93 1 21:-0.32251110405595795 492:0.9156718964291434 493:0.9156718964291434 494:0.7958800173440752 		1000 like cho trump
94 1 2:-0.135260611001453 190:-0.14824369810869037 328:0.19512031208214384 494:0.7958800173440752 495:-0.3362449486297908 496:-0.3362449486297908 497:-0.3362449486297908 498:-0.2922560325275243 499:-0.2922560325275243 500:-0.3362449486297908 501:-0.2922560325275243 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
