1 1 1:0.03 2:0.03 4:0.05 5:0.04 7:0.06 8:0.06 10:0.06 11:0.06 13:0.04 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
42 1 91:0.02 108:0.04 112:0.03 145:0.03 190:0.03 211:0.02 319:0.04 320:0.04 322:0.03 323:0.04 324:0.04 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:0.17 		rất hay
44 1 325:0.35 326:0.25 		chính_xác luôn 
45 1 89:0.1 327:0.1 328:0.06 329:0.08 330:0.11 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.11 260:0.22 326:0.18 		quá thích luôn 
47 1 78:0.08 317:0.12 327:0.17 328:0.11 		bác nói chuẩn quá 
48 1 78:0.15 211:0.17 		hay quá
49 1 45:0.1 328:0.15 331:0.22 		luôn_luôn ủng_hộ bác
50 1 211:0.09 		hay phải vậy chứ 
51 1 45:0.04 220:0.06 230:0.07 329:0.07 333:0.08 334:0.19 335:0.06 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.04 59:0.09 264:0.07 333:0.09 335:0.07 336:0.11 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.04 309:0.09 333:0.09 335:0.07 337:0.15 338:0.11 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:0.02 5:0.02 36:0.02 38:0.02 66:0.01 101:0.02 184:0.02 230:0.02 264:0.02 335:0.02 340:0.03 341:0.03 342:0.02 343:0.03 344:0.03 345:0.03 346:0.03 347:0.03 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:0.16 220:0.07 264:0.14 348:0.11 349:0.08 350:0.1 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:0.1 351:0.14 		tôi tán_thành với chính_sách này
57 1 45:0.02 66:0.04 67:0.03 71:0.03 140:0.04 145:0.03 272:0.04 352:0.09 354:0.04 355:0.04 356:0.04 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:0.06 127:0.05 194:0.06 264:0.09 335:0.04 357:0.07 358:0.07 359:0.06 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:0.03 264:0.02 310:0.02 335:0.02 344:0.03 345:0.03 360:0.04 361:0.03 362:0.04 363:0.04 364:0.03 365:0.02 366:0.03 367:0.04 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.01 66:0.02 127:0.02 228:0.03 283:0.03 340:0.03 368:0.04 369:0.04 370:0.03 372:0.04 373:0.04 374:0.03 375:0.04 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.02 49:0.03 66:0.03 195:0.04 196:0.04 259:0.04 328:0.07 335:0.04 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.05 71:0.2 101:0.08 349:0.1 377:0.13 378:0.13 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.02 49:0.02 61:0.03 67:0.06 128:0.02 230:0.03 285:0.04 349:0.03 370:0.04 381:0.04 382:0.04 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:0.07 76:0.06 194:0.08 383:0.09 384:0.09 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:0.18 328:0.15 335:0.16 		cảm_ơn bác hải 
66 1 1:0.01 2:0.01 21:0.0 49:0.01 59:0.01 61:0.01 128:0.01 132:0.01 177:0.01 184:0.01 186:0.01 365:0.01 385:0.02 386:0.02 388:0.04 389:0.02 390:0.02 391:0.04 394:0.01 395:0.02 396:0.02 397:0.02 398:0.02 399:0.02 400:0.02 401:0.02 402:0.02 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:0.04 128:0.04 190:0.05 210:0.08 328:0.05 329:0.06 346:0.07 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.08 403:0.19 		rất ủng_hộ phương_án này
69 1 39:0.01 77:0.01 78:0.0 96:0.01 101:0.01 112:0.01 136:0.0 153:0.01 177:0.01 227:0.01 229:0.01 252:0.01 281:0.01 322:0.01 326:0.01 364:0.01 370:0.01 399:0.03 404:0.01 405:0.01 406:0.01 407:0.01 408:0.01 409:0.01 410:0.01 411:0.01 412:0.01 413:0.02 414:0.01 415:0.01 416:0.01 417:0.01 418:0.01 419:0.01 420:0.01 421:0.01 422:0.01 423:0.01 424:0.01 425:0.01 427:0.01 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.02 66:0.03 101:0.08 428:0.13 429:0.06 430:0.05 431:0.06 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.1 66:0.04 281:0.04 326:0.06 329:0.06 432:0.09 433:0.09 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:0.02 45:0.01 67:0.02 79:0.02 127:0.02 140:0.02 186:0.02 220:0.02 227:0.02 434:0.03 435:0.02 436:0.03 437:0.03 438:0.02 439:0.03 440:0.03 441:0.02 442:0.03 443:0.03 444:0.03 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:0.03 264:0.03 335:0.03 344:0.04 345:0.04 365:0.03 383:0.04 385:0.04 445:0.05 446:0.05 447:0.03 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:0.02 190:0.03 195:0.03 196:0.03 309:0.04 413:0.03 448:0.05 449:0.03 450:0.04 451:0.05 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:0.04 21:0.02 45:0.02 147:0.05 186:0.04 416:0.04 417:0.05 452:0.05 453:0.06 454:0.05 455:0.04 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:0.03 5:0.04 78:0.02 112:0.04 346:0.05 413:0.04 449:0.04 455:0.04 456:0.06 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:0.09 457:0.11 458:0.13 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:0.07 39:0.02 78:0.02 184:0.03 186:0.03 277:0.02 413:0.03 449:0.03 450:0.04 455:0.03 459:0.03 460:0.04 461:0.04 462:0.04 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:0.07 190:0.05 192:0.07 262:0.05 463:0.07 464:0.07 465:0.08 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:0.06 466:0.1 467:0.1 468:0.1 469:0.11 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:0.04 224:0.06 466:0.06 467:0.06 468:0.06 470:0.07 471:0.07 472:0.07 473:0.07 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:0.02 13:0.03 127:0.02 224:0.03 310:0.02 331:0.03 440:0.03 441:0.03 474:0.04 475:0.04 476:0.04 477:0.04 478:0.04 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:0.06 190:0.07 317:0.07 479:0.11 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:0.35 481:0.35 		vỗ_tay quá_trời
85 1 45:0.03 91:0.04 227:0.05 455:0.05 482:0.08 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:0.19 484:0.19 		rất chặt_chẽ và nghiêm_khắc
87 0 68:0.13 211:0.09 351:0.17 		chính_sách hay tôi tán_thành
88 1 45:0.06 		phải vậy tôi rất ủng_hộ
89 1 211:0.3 		hay
90 1 63:0.09 196:0.07 310:0.06 485:0.1 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.03 486:0.06 487:0.07 488:0.08 489:0.08 490:0.08 491:0.15 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:0.15 264:0.16 317:0.16 		ông nói đúng 
93 1 21:0.06 492:0.19 493:0.19 494:0.17 		1000 like cho trump
94 1 2:0.03 190:0.03 328:0.03 494:0.05 495:0.05 496:0.05 497:0.05 498:0.05 499:0.05 500:0.05 501:0.05 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.01 39:0.01 77:0.02 97:0.02 132:0.04 159:0.02 171:0.02 197:0.02 213:0.02 220:0.01 502:0.03 503:0.02 504:0.03 505:0.02 506:0.03 507:0.03 508:0.02 509:0.03 510:0.06 511:0.03 512:0.06 513:0.03 514:0.02 515:0.03 516:0.03 517:0.02 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.03 38:0.06 101:0.06 		vậy có phải là tốt cho dân không
97 1 78:0.05 112:0.07 131:0.08 211:0.05 423:0.08 518:0.1 		hay quá mình cũng sắp mua nhà 
98 1 1:0.04 2:0.09 132:0.04 222:0.07 269:0.06 270:0.06 519:0.08 520:0.07 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
99 1 43:0.03 45:0.02 122:0.03 186:0.03 408:0.04 454:0.04 520:0.04 521:0.04 522:0.04 523:0.04 524:0.04 525:0.04 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
100 1 2:0.03 39:0.03 195:0.04 196:0.04 230:0.04 256:0.05 503:0.05 521:0.04 522:0.05 526:0.05 527:0.05 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
101 2 142:0.24 528:0.29 		không_thể chấp_nhận
102 2 39:0.02 132:0.05 197:0.02 220:0.02 277:0.02 319:0.02 349:0.02 404:0.02 435:0.02 529:0.02 530:0.03 531:0.03 532:0.03 533:0.03 534:0.03 535:0.03 536:0.03 537:0.03 538:0.03 539:0.03 		người_dân chúng_tôi muốn nghe một lời giải_thích hoặc đính_chính của ngành đường_sắt nếu đây là một sự_thật thì quả_là một ý_tưởng siêu rồ_dại nhất trong năm 2016
103 2 128:0.01 129:0.03 184:0.02 262:0.02 438:0.02 447:0.02 540:0.04 541:0.03 542:0.03 543:0.05 544:0.03 545:0.04 546:0.03 547:0.04 548:0.03 		  sao không chủ_động tìm thị_trường các nước khác mà suất khẩu đi ăn mãi được đâu mà_còn các mặt_hàng khác nữa chứ 
104 2 549:0.17 550:0.18 		không hiểu nổi 
105 2 13:0.04 21:0.02 300:0.05 308:0.05 430:0.05 551:0.05 552:0.05 553:0.12 554:0.05 		cái vô_lý nhất_là phí bảo_vệ môi_trường thu nhiều và chẳng làm_gì cho môi_trường cả 
106 2 1:0.01 21:0.0 118:0.04 121:0.01 128:0.02 131:0.01 132:0.01 136:0.01 247:0.02 254:0.04 278:0.01 284:0.02 322:0.04 555:0.05 556:0.04 557:0.04 558:0.02 559:0.05 560:0.02 563:0.02 564:0.02 		xe chính chủ thật không hợp_lý hai vợ chông tôi có một chiếc xe lúc tôi đi lúc vợ đi không biết để tên ai chính chủ cũng không biết làm_sao cho khỏi bị phạt tiền không có tiền mua thêm xe còn bị phạt nữa
107 2 447:0.06 529:0.04 552:0.03 555:0.03 556:0.04 557:0.04 565:0.04 566:0.04 567:0.03 568:0.04 569:0.04 		rầu nhất_là cái vụ xe không chính chủ thôi nhiều khi đâu phải muốn sang_tên là sang đâu 
108 2 79:0.01 118:0.01 132:0.01 261:0.01 262:0.01 264:0.01 269:0.01 281:0.01 412:0.01 543:0.01 555:0.04 568:0.01 569:0.02 570:0.02 571:0.02 572:0.02 573:0.01 575:0.04 576:0.02 577:0.02 578:0.02 579:0.02 580:0.02 581:0.02 582:0.02 583:0.02 584:0.02 		không đồng_tình với việc phạt hành_vi không sang_tên xe mô_tô xe_gắn_máy khó có_thể chứng_minh được lỗi này ví _ dụ như tôi mượn xe của một ông bạn giàu_có dư xe để mang sang tỉnh khác làm_việc thì chứng_minh thế_nào đây ?  
109 2 50:0.02 128:0.02 211:0.01 278:0.01 281:0.02 284:0.02 555:0.01 556:0.02 557:0.02 563:0.02 566:0.02 568:0.02 573:0.01 585:0.04 586:0.02 587:0.02 588:0.02 589:0.02 590:0.01 591:0.02 592:0.02 		thật_sự là cái vụ sang_tên chính chủ không được hợp_lý 2 chị_em có cái xe lúc chị đi lúc tôi đi để tên ai cũng khó hay hộ_khẩu với xe_máy giờ là 2 vật bất_ly_thân ? ?
110 2 567:0.23 593:0.32 		thôi xong
111 2 21:0.01 61:0.0 62:0.01 68:0.0 76:0.0 91:0.01 101:0.0 119:0.01 128:0.01 142:0.0 162:0.01 186:0.0 197:0.0 342:0.0 366:0.0 449:0.02 508:0.01 517:0.01 518:0.01 584:0.01 594:0.0 595:0.0 596:0.03 597:0.01 598:0.02 599:0.01 600:0.01 601:0.01 602:0.01 603:0.01 604:0.01 605:0.01 606:0.01 607:0.01 608:0.01 609:0.01 610:0.01 611:0.01 612:0.0 613:0.01 614:0.02 615:0.01 616:0.01 617:0.01 618:0.01 619:0.01 620:0.01 621:0.01 622:0.01 		rất buồn với chính_sách bảo_hiểm những bệnh nặng như các bệnh ung_thư v v các bệnh mà tuyến huyện tuyến tỉnh trình_độ bác_sĩ ở đây không_thể điều_trị và chữa được nhưng bệnh_viện rất khoát không cho đi mà nếu đi được thì thủ_tục cực_kỳ phức_tạp gây ra muôn_vàn những khổ_cực cho người_nhà người_bệnh gia_đình nào có trong trường_hợp này mới thấy cơ_cực thậm trí có những trường_hợp sắp chết mới cho người_ta chuyển viện tuyến trên tôi rất mong bộ y_tế vào_cuộc giải_quyết giúp dân
112 2 49:0.01 112:0.02 423:0.02 623:0.03 624:0.03 625:0.02 626:0.03 627:0.03 628:0.03 629:0.03 630:0.03 631:0.03 632:0.03 633:0.07 634:0.03 		cố_chấp giữ lại có vấn_đề gì hãng sẽ không chịu trách_nhiệm vì đã thông_báo thu_hồi rồi lỡ xui hại mình hại người cháy nhà 
113 2 21:0.0 54:0.01 91:0.01 97:0.01 122:0.01 136:0.0 205:0.03 284:0.01 319:0.01 328:0.01 342:0.01 596:0.01 601:0.01 602:0.04 612:0.01 635:0.01 636:0.04 637:0.01 638:0.01 639:0.03 640:0.03 641:0.01 643:0.02 644:0.01 645:0.01 646:0.03 647:0.01 648:0.01 649:0.01 650:0.01 651:0.01 652:0.01 653:0.01 654:0.01 		không hợp_lý chút nào thời_gian điều_trị còn phụ_thuộc phần_lớn vào phương_pháp kĩ_thuật của bác_sĩ và máy_móc y_học nữa cùng 1 loại bệnh nếu điều_trị bằng các phương_pháp và kĩ_thuật máy_móc khác_nhau cũng sẽ khác_nhau về thời_gian điều_trị quy_định mới này có_thể tạo cơ_hội cho 1 bộ_phận y bác sỹ thiếu y_đức sẽ sách_nhiễu người_bệnh hoặc kéo_dài thời_gian 
114 2 21:0.02 49:0.02 62:0.01 68:0.02 78:0.0 97:0.01 128:0.0 132:0.0 143:0.01 155:0.01 278:0.01 281:0.01 326:0.01 341:0.01 390:0.01 435:0.01 459:0.01 590:0.01 595:0.07 607:0.01 608:0.01 612:0.01 636:0.01 648:0.01 651:0.01 655:0.01 656:0.01 657:0.01 658:0.01 659:0.01 660:0.01 661:0.01 662:0.01 663:0.01 664:0.01 665:0.01 		chính_sách bảo_hiểm quá phức_tạp gây khó_khăn cho người_bệnh đã thế lại thiếu ổn_định và thực_tiễn ai đi đếm thời_gian 4 giờ đó ? tạo cơ_hội cho cán_bộ ngành y_tế và bảo_hiểm trục_lợi đây mà gọi_là bảo_hiểm ah ? chính_sách cho thì được không cho không được không có một ràng_buộc rõ_ràng giữa người nhận bảo_hiểm và người được bảo_hiểm và phần thiệt luôn là người được bảo_hiểm
115 2 21:0.0 39:0.01 42:0.01 49:0.0 66:0.0 68:0.01 91:0.01 95:0.01 101:0.01 128:0.01 136:0.0 137:0.01 278:0.0 306:0.02 452:0.02 486:0.01 550:0.01 590:0.01 595:0.03 619:0.01 627:0.01 647:0.01 666:0.01 667:0.03 668:0.01 669:0.01 670:0.01 671:0.01 672:0.01 673:0.01 674:0.01 675:0.01 676:0.01 677:0.01 678:0.01 679:0.01 680:0.01 681:0.01 682:0.01 		lúc nguy_hiểm nhất người_ta mới cần cấp_cứu vậy rồi chờ khám rồi mới được vào cấp_cứu thì toi_mạng rồi còn gì luật gì mà kì_cục vậy kinh_doanh trên tính_mạng con_người riết rồi dân ai cũng sợ cái chính_sách dở_hơi này đọc mà tức chịu không nổi hs đi học ép đóng bảo_hiểm 100 người đi làm bắt đóng bảo_hiểm 100 vậy tại_sao bảo_hiểm lại quy_định cho khung giờ cấp_cứu 
116 2 270:0.12 590:0.1 667:0.12 683:0.13 		cấp_cứu mà tính giờ cạn_lời 
117 2 259:0.05 281:0.04 438:0.04 541:0.07 612:0.05 684:0.06 686:0.08 687:0.08 		bảo_hiểm_y_tế sao cứ tìm cách bắt_chẹt người_bệnh hoài vậy ?
118 2 78:0.08 549:0.13 573:0.13 688:0.19 		qui_định khó hiểu quá
119 2 684:0.09 689:0.11 690:0.11 691:0.11 		bảo_hiểm_y_tế lại rơi vào vòng luẩn_quẩn rồi
