2 520          không_thể chấp_nhận
2 3502         sinh_viên phần_lớn xa quê và là con_em nông_dân công_nhân không có điều_kiện thế_mà không giảm_giá cho các em í @ @ thấy tội cho các em
2 3505         những mặt_hàng nông_nghiệp như phân thuốc_trừ_sâu bình ỗn được chứ dân đang nghèo mùa_màng thất_bát tại_sao còn đưa gạo làm bình ỗn
2 3509         những cái tốt sao hok duy_trì mà_lại hủy_bỏ là sao giảm_giá vé cho sv là việc_làm thiết_thực mà 
2 3516         sinh_viên không được miễn giá vé tàu ntn là k thỏa_đáng đa_số sv đều ở quê ra tp học_tập đa_phần sv là gđ nông nghèo không giảm_giá tàu_xe cho sv về quê các đợt lễ tết và không đc học_phí thì tăng vé tàu_xe không giảm thế sv chúng_tôi sao mà đủ tiền tàu_xe 
2 3517         đồng_ý hết nhưng sinh_viên không được miễn_giảm vé tàu là một vấn_đề cần phải xem_xét lại vì_sao 
2 3525         ơ trước năm 45 là chống pháp đa_phần tuổi đã cao sức đã yếu còn đi đâu nữa mà miễn với không miễn ? tại_sao không miễn giãm cho tất_cả các thời_kỳ ? buồn_cười quá 
2 3527         buồn thiết chứ không đội mũ_bảo_hiểm cho những bạn trẻ là tốt nên bắt_buộc sinh_viên xa quê nghèo lắm các bác ạ sao các bác nỡ lòng nào ? 
2 3533         sinh_viên không được miễn giảm vé tàu_hỏa là chính_sách chưa phù_hợp để phát_triển đất_nước sinh_viên là những người cần được ưu_tiên hỗ_trợ phát_triển nước gần chúng_ta nhất trung quốc sinh_viên được miễn giảm_giá vé tầu vào hai lần là đi_về nghỉ_hè và nghỉ tết đề_nghị tăng_cường an_ninh tại các khu_vực bến_xe bến_tàu phòng_chống trộm_cắp cướp_giật lắp thiết_bị ghi_hình ghi tiếng và báo_động nhanh tại các khu_vực này 
2 3538         thay_đổi mã vùng điện_thoại cố_định không khoa_học tí nào
2 3539         mệt nhất_là chuyện đổi số điện_thoại mới_đầu năm đã hao_tài_tốn_của cho việc in_ấn giấy_tờ rồi 
2 3546         tôi thấy đổi số đt và cho mang thai hộ là ko hay chút nào 
2 3557         mã vùng điện_thoại thay_đổi kiểu gì mà đọc vào chả thấy khoa_học không biết_mấy bác phân_chia mã theo quy_luật nào nữa
2 3563         xong tăng lương thì tiền đâu em mua rau thịt ăn đây lại mỳ tôm qua_ngày vậy
2 3591         khổ lắm
2 3615         vô_cùng ngang_ngược và trơ_tráo 
2 3745         vô_lý nhất_là mình có nhà hợp_pháp chủ_quyền tên của mình mà phải tạm_trú trong nhà mình 2 năm mới được nhập hộ_khẩu thời_gian đó thì biết_bao_nhiêu rắc_rối cho con_cháu xin việc học_hành quyền_lợi bị hạn_chế 
2 4098         buồn quá đi 
2 4180         lương thấp quá xăng thì cứ tăng vù_vù nãn lòng công_chức 
2 4201         trời_ơi tăng cái nọ lại tăng thêm 1 loạt các thứ khác ? xăng tăng điện tăng kêu lỗ cái khổ của người_dân thì ai kêu cho đây 
2 4224         nghe lương tăng mà thấy buồn bởi chẳng thấm_tháp gì so với chi_tiêu tối thiếu hàng tháng của các gia_đình công_chức 
2 4231         lương và giá_cả thị_trường làm thế_nào để đủ tiền nuôi hai đứa con mà không phải vay nợ 
2 4234         lương ơi đừng tăng nữa 
2 4280         vô_lý hình_ảnh rạp công_nhân sau khi đập 2 bậc thềm nhưng thay vào đó là 1 dãy xe_máy đậu trên vỉa_hè ? vậy mục_đích của việc đập 2 bậc thềm là gì ?
2 4330         tôi phản_đối lấy vỉa_hè kinh_doanh hay làm_việc khác
2 4331         ôi không được đâu mới khó_khăn mới dẹp được giờ mà bày ra là tùm_lum liền hà 
2 4332         quyết_định thật khó hiểu tôi phản_đối việc này vi_phạm luật giao_thông đường_bộ đã cấm là cấm 
2 4336         nếu cho kinh_doanh vỉa_hè rồi lại lộn_xộn thôi văn_hoá vỉa_hè sẽ tồn_tại mãi thế_này sao ? tận_dụng làm chỗ đỗ xe thì còn có_lý vì chỗ để xe hiện_nay rất thiếu còn cho thuê kinh_doanh là tôi không ủng_hộ 
2 4337         lại bát_nháo thế_này bao_giờ mới khá nổi 
2 4339         đã dọn_dẹp vỉa_hè để lấy lại không_gian đi_lại cho rộng_rãi vậy_mà còn đề suất cho thuê gì nữa vậy trời 
2 4340         cho kinh_doanh rồi ai quản_lý nỗi nếu người kinh_doanh lấn_chiếm dẹp đi không đồng_ý
2 4345         dẹp rồi lại cho bán trở_lại pó tay vậy_thì đừng có dẹp làm_gì 
2 4346         không biết nói_gì hơn mới được mấy ngày mà đã có đề_xuất mới dứt_khoát không cho kinh_doanh vỉa_hè 
2 4357         cạn_lời
2 4363         phản_đối đề_xuất kinh_doanh trên vỉa_hè khi ý_thức người_dân còn quá kém kèm theo lòng tham tâm_lý số đông khi sử_dụng hộ này chật quá để thêm vật_dụng ra ngoài nghĩ cũng không sao người này thấy người kia để được cũng làm theo người người_làm theo cán_bộ đi kiểm_tra rất mỏng còn rất nhiều vấn_đề phát_sinh vỉa_hè phải dùng đúng mục_đích cho làm_việc này việc kia sẽ sinh_ra tiêu_cực mỹ_quan đô_thị và tất_cả sẽ mất kiểm_soát bát_nháo cho_đến vài chục năm sau 
2 4370         không hiểu sao lại nảy ra ý_định này đã dẹp là dẹp hẳn luôn tốn bao công_sức để lấy lại vỉa_hè rồi loanh_quanh sẽ khó mà trở_thành 1 góc nhỏ của singapo 
2 4374         bao_nhiêu công_sức tiền_của để đập phá dọn_dẹp lại vỉa_hè giờ mà thêm cái qđ này nữa khác_gì bữa giờ ném_tiền_qua_cửa_sổ 
2 4375         vỉa_hè rộng quá thì mở_rộng thêm đường giải_quyết ùn ứ tắc đường 
2 4387         ai bảo_đảm sẽ không tái_diễn cảnh lấn_chiếm lòng lề_đường nữa ? và người đi bộ lại phải xuống lòng_đường tôi không đồng_ý dự_thảo này 
2 4388         không nên rất khó kiểm_soát tiêu_cực đã cấm là cấm hẵn lề_đường để giao_thông 
2 4408         phản_đối sử_dụng vỉa_hè 3m kẻ sơn cho bán hàng rong đã làm thì làm cho tới nơi trước kẻ sơn cho để xe rồi kết_cục thế_nào mọi người đều đã biết
2 4425         ko đồng_ý cách làm này đã buôn_bán thì_phải vào chợ còn nếu có mặt_bằng buôn_bán thì_phải có chỗ cho khách để xe làm nửa_vời thì đâu lại vào đó khó_khăn cho người thực_thi pháp_luật 
2 4450         tôi phản_đối việc kẻ vạch hay lập phố hàng rong người_dân việt đã vốn thiếu ý_thức rồi thì việc lập chợ hàng rong chẳng khác_nào xóa chỗ này lập chỗ khác họ ngồi bán đúng chỗ đó nhưng người mua có ngồi đúng vạch không ? có tránh được_việc xả rác tùm_lum không ? lúc đó muốn đuổi dẹp có được nữa không khi mà họ buôn_bán đúng luật ? ? ? ? ? nên_chăng thì lập hẳn cái chợ hàng_hàng rong trên 1 khu đất trống cho mọi người tập_trung tại đó như trong chợ bến thành chứ không phải trên đường_phố nào nữa 
2 4453         nhà dân ở đường hàng rong đó thì tính sao không_lẽ ngồi trước cửa_nhà người_ta bày bán ? cực_kỳ không hợp_lý 
2 4457         không nên cho bán hàng rong đã dẹp thì_phải làm đến_cùng phố này có người bán được thì phố kia cũng có người bán được 
2 4459         nếu vỉa_hè 3m cho kinh_doanh thì lại như cũ thôi vỉa_hè sẽ là cái chợ thôi dừng đòi vỉa_hè lại đi luẩn_quẩn rồi 
2 4860         tôi nghĩ không nên bỏ vì ai có đang nuôi con dưới 12 tháng tuổi mới hiểu nỗi cực của người_làm cha làm mẹ tôi là nam mà đôi_lúc tôi còn mệt_mỏi khi chăm con tuổi đấy nữa_là phụ_nữ 
2 4870         tôi k hiểu sao mà có người lại ủng_hộ chuyện hủy_bỏ quy_định này nhỉ chắc người_ta k phải là phụ_nữ nên k biết nỗi vất_vả của người phụ_nữ khi có con_nhỏ
2 4876         nếu bỏ qui_định trên thi tàn_nhẫn với phụ_nữ quá
2 4884         vì_sao phải bỏ ? có ai là không có người giúp_việc nhà không ? có ai không thuê người phụ nuôi con_nhỏ không ? với những người lao_động là nhân_viên văn_phòng là công_nhân sản_xuất thì_có mấy người thuê được người giúp_việc ?
2 4885         tôi cũng đồng_ý với ý_kiến là không nên bỏ vì nuôi con_nhỏ rất là vất_vả mệt_nhọc ai đang nuoi con_nhỏ mới hiểu được 
2 7896         thật_là nực_cười quá
2 4892         tai sao lại phải mất thời_gian so_đo với người phụ_nữ vừa sinh con xong phải đi làm hãy nhìn ra thế_giới xem họ thế_nào ? ? thật buồn 
2 4893         phản_đối kịch_liệt người_mẹ sinh_ra cả thế_giới này mà tại_sao lại bất_công với người_mẹ nuôi con dưới 12 tháng tuổi thế
2 4898         mấy cái tăng trửơng an_sinh khác k so đi so cái này bó_tay ông doanh_nghiệp nào đề_xuất va đồg ý điều này thìnên cho đi nuôi con 1 năm 
2 4901         tôi ko thể_nào chấp_nhận đc tôi chỉ là nam thanh_niên 24t nhưng thấy bức súc nếu bỏ quyền lời của chị_em phụ_nữ như_thế là không_thể đc tại_sao các doanh_nghiệp ko tác_động đồng_lương mà chĩ thích tác_động lợi_nhuận cho bản_thân thôi 
2 7889         tôi không đồng_ý với chính_sách này 
2 4925         không nên bỏ giữ nguyên như hiện_hành chăm_lo cho trẻ_em và bà_mẹ là truyền_thống rất tốt_đẹp của dân_tộc ta 
2 4931         ko nên bỏ vợ tôi mới mang thai thôi mà đã thấy khổ cho cô ấy lắm rồi chưa nói đến chăm con sau sinh ai nói nhắm đẻ đc mà ko phiền người khác thì hả đẻ coi_chừng quả_báo có_thể anh_chị đã quá dư giả kinh_tế nên việc thuê người chăm con ko thành vấn_đề nhưng hãy xem_lại có bao_nhiêu người có điều_kiện như_vậy ? 
2 4932         nghĩ sao mà bỏ các bạn thủ nuôi co đi rồi biết
2 4934         không nên bỏ luật cho_phép phụ nử nuôi con dưới 1 tuổi nghỉ 1 giờ trong ngày có một năm thôi mà gần con trẻ_em sẻ ít bệnh ngành y_tế giảm tốn ngân_sách nên vì quyền trẻ_em cần được chăm_sóc khi mẹ bé quá mệt_mỏi những lúc tan ca đây là tính nhân_đạo cũa nước ta đừng so_sánh nước_ngoài làm_chi 
2 4936         k nên bỏ tại_sao k quan_trọng là 1 tiếng_là nhiều nhưng đc về sớm hoặc đc đi làm trễ là 1 điều rất cần với nhiều người có con_nhỏ với trình trạng kẹt xe hiện_nay
2 4939         thật vô_lý khi bỏ chế_độ con_nhỏ cho lao_động thử_hỏi 1 người phụ_nữ trong đời thì_có bao_nhiêu lần hưởng chế_độ này ?
2 4940         nếu bỏ chế_độ nghỉ thai_sản và 1 tiếng hàng ngày thì đó là một bước lùi của chất_lượng cuộc_sống và tiến_bộ xã_hội các bạn hãy xem thụy điển đi họ nghỉ thai_sản nhiều hơn chúng_ta nhiều tương_lai trẻ_em là tương_lai đất_nước đừng vì chút lợi_ích trước_mắt mà để các cháu thiệt_thòi
2 4942         quá_đáng 
2 4948         hãy đặt vợ_con mình là những người lao_động hết_lời 
2 4951         không nên bỏ nếu là lý_do về phía doanh_nghiệp tôi thấy chưa đúng lắm cụ_thể 1 số doanh_nghiệp may_mặc ở thái_bình họ thực hiên rất nghiêm_túc không hề thấy có khó_khăn gì thậm_chí 1 số chị_em có nhu_cầu làm thêm cũng được phía doanh_nghiệp động_viên nghỉ nghơi chăm_sóc con cho tôt 
2 4962         theo tôi không nên bỏ nghỉ 60 này khi lao_động nữ nuôi con dưới 12 tháng mà nên thay_đổi thai_sản nghỉ 6 tháng bằng nghỉ 5 tháng vì nó đảm_bảo lợi_ích của doanh_nghiệp và người lao_động 
2 4963         theo tôi không nên bỏ nghỉ 60 này khi lao_động nữ nuôi con dưới 12 tháng mà nên thay_đổi thai_sản nghỉ 6 tháng bằng nghỉ 5 tháng vì nó đảm_bảo lợi_ích của doanh_nghiệp và người lao_động 
2 4964         không nên bỏ
2 4975         không tăng thì_thôi còn muốn xóa_bỏ 
2 4977         may quá đẻ được một đứa rồi mong đừng bỏ luật nhé vì tuy ảnh_hưởng đến sản_xuất nhưng tương_lai lại cung_cấp cho xã_hội những nhân_lực đủ trí_tuệ sức_khoẻ do được chăm_sóc chu_đáo từ nhỏ chứ ảnh_hưởng đến sản_xuất thì mấy đồng lợi_nhuận đó ko là j so với sức_khoẻ trẻ_thơ đâu 
2 4991         theo tôi thì không nên bỏ quy_định này đối_với doanh_nghiệp sản_xuất kinh_doanh thì tính lương theo sản_phẩm nếu chị_em đi làm ít thời_gian nghiễm_nhiên sản_phẩm sẽ giảm thì tiền_lương thưởng cũng sẽ giảm doanh_nghiệp cũng không thiệt_thòi gì mà chị_em vẫn được nghỉ 60 để chăm con còn
2 4992         những đề_xuất không hợp lòng dân tại_sao phải bỏ ?
2 4994         không nên bỏ quy_định này đây là một quy_định mang tính nhân_văn cao thế_hệ trẻ việt nam đang cần được chăm_sóc gìn_giữ đào_tạo và phát_triển về thể_chất tinh_thần 
2 4997         một đề_xuất ngớ_ngẩn và thiếu nhân_văn 
2 4998         không bỏ vì đó là quyền của những mầm_non tương_lai chứ không phải là lợi_ích của riêng người phụ_nữ 
2 4999         tất_cả vì giống_nòi sau_này không nên bỏ
2 5018         một chính_sách tốt như vậy_sao lại bỏ đề_nghị xem_xét lại 
2 5028         không nên bỏ vi hiên tại nhiều công_ty đang bóc_lột sức_lao_động của công_nhân mình với đồng_lương rẻ_mạt quá
2 5038         ai nêu ra ý_kiến này vậy ? ? ? ? nhân_văn chút đi
2 5039         thật phi_lý bấy_lâu_nay vẫn áp_dụng đó sao những người nào có suy_nghĩ nên bỏ chế_độ đó thì chắc họ k có vợ_con hoặc là chủ doanh_nghiệp có tiền thuê người giúp_việc nên họ k hiểu nổi khó_khăn hay nổi khổ của người phụ_nữ khi chăm con_nhỏ người lao_động lương 3 cộc 3 đồng làm_gì có tiền mà thuê người giúp_việc với_lại người giúp_việc có thay mẹ cho con bú bằng sữa mẹ không ?
2 5115         không nên dựa vào độ tuổi để quy_định mức thưởng như_thế rất buồn_cười trên 18 tuổi không có nghĩa_là ông đã rèn_luyện đủ độ chín so với dưới 18t nếu một nhà_vô_địch dành huy_chương vàng và mang về cho vn dù ở độ tuổi nào cũng_nên được tưởng_thưởng xứng_đáng vì điều đó là để tôn_vinh tổ_quốc 
2 5125         phải xem_lại 
2 5179         phải có chổ cho xe đậu chứ cứ như_thế_này ko lẻ ra đường là chạy suốt luôn à ?
2 5346         đã vi_phạm luật còn được hỗ_trợ có phải nghịch_lý không ? như_vậy pháp_luật là để làm_gì mà không có tính răng đe hay áp_dụng gì cả còn phải vận_động năn_nỉ chỉ_thị này ra xong sẽ có thêm quán chè khác mọc lên 
2 5578         trừ lương là sai luật rồi  
2 5594         phản_đối là hoàn_toàn đúng tổ_chức công_đoàn đại_diện hợp_pháp cho công_nhân đâu ? công_đoàn cần có ý_kiến trực_tiếp với gđ công_ty để đòi quyền_lợi hợp_pháp nếu_không được công_đoàn có văn_bản gửi sở công_thương và ubnd tỉnh đề_nghị can_thiệp
2 5607         nực_cười
2 5608         chuyện thật như đùa 
2 5619         thật không_thể tin nổi  
