1 1 1:1.2218487330493364 2:1.1870866309318795 4:2.0 5:1.3979400086720377 7:2.3010299956639813 8:2.3010299956639813 10:2.3010299956639813 11:2.3010299956639813 13:1.6020599913279623 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
12 1 1:1.2218487330493364 70:1.6989700043360187 72:2.0 97:1.3979400086720377 101:1.3010299956639813 102:2.3010299956639813 103:2.0 104:2.3010299956639813 105:2.0 106:2.0 107:2.3010299956639813 108:2.0 109:1.8239087243772987 110:2.0 111:2.0 112:1.3010299956639813 113:1.8239087243772987 115:2.3010299956639813 116:2.0 118:1.6989700043360187 119:1.6989700043360187 120:2.3010299956639813 121:1.4559319515079694 122:1.3010299956639813 123:2.0 124:2.3010299956639813 125:2.3010299956639813 126:2.0 127:1.4559319515079694 128:0.978810696788307 129:1.8239087243772987 130:2.3010299956639813 131:1.4559319515079694 132:1.0969100130080565 133:2.3010299956639813 136:1.0705810660021973 137:2.0 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:1.6989700043360187 82:2.0 91:1.1870866309318795 97:1.3979400086720377 105:2.0 106:2.0 110:2.0 113:1.8239087243772987 118:1.6989700043360187 140:1.8239087243772987 142:1.4559319515079694 143:2.0 144:2.3010299956639813 145:1.5228787287133174 146:2.3010299956639813 147:1.8239087243772987 148:2.3010299956639813 150:2.0 151:2.3010299956639813 152:2.0 153:2.0 154:2.3010299956639813 155:1.8239087243772987 156:2.3010299956639813 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:1.6989700043360187 71:1.6989700043360187 157:2.0 158:2.3010299956639813 		hoan_hô mấy anh cảnh_sát
15 1 2:1.1870866309318795 5:1.3979400086720377 21:0.7212463949054161 38:1.3979400086720377 159:2.0 160:2.3010299956639813 161:2.3010299956639813 162:2.0 163:2.0 164:2.0 165:2.3010299956639813 166:2.3010299956639813 167:2.3010299956639813 168:2.0 169:2.3010299956639813 171:1.8239087243772987 172:2.0 173:2.3010299956639813 174:1.6020599913279623 175:2.3010299956639813 176:2.3010299956639813 177:1.6989700043360187 178:2.0 180:2.3010299956639813 181:2.0 184:1.4559319515079694 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:2.0 38:1.3979400086720377 49:0.978810696788307 186:1.4559319515079694 187:2.3010299956639813 189:1.6989700043360187 190:1.3010299956639813 191:2.3010299956639813 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:1.2218487330493364 37:2.0 132:1.0969100130080565 136:1.0705810660021973 163:2.0 164:2.0 192:2.0 193:2.3010299956639813 194:1.8239087243772987 195:1.5228787287133174 196:1.5228787287133174 197:1.3467874696576363 198:2.3010299956639813 199:1.5228787287133174 202:2.3010299956639813 203:2.3010299956639813 204:2.3010299956639813 205:2.0 206:2.3010299956639813 207:2.3010299956639813 208:2.3010299956639813 209:2.3010299956639813 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:1.1870866309318795 78:0.9208187373853551 128:0.978810696788307 132:1.0969100130080565 197:1.3467874696576363 210:2.0 211:1.045757473993655 212:2.3010299956639813 213:2.0 214:2.0 215:2.3010299956639813 216:2.0 217:2.3010299956639813 218:2.3010299956639813 219:2.0 220:1.3010299956639813 221:2.3010299956639813 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:1.0969100130080565 177:1.6989700043360187 222:1.8239087243772987 223:2.3010299956639813 224:1.8239087243772987 225:2.3010299956639813 226:2.3010299956639813 227:1.5228787287133174 228:1.8239087243772987 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:1.045757473993655 		rất hay
21 1 2:1.1870866309318795 64:1.5228787287133174 78:0.9208187373853551 174:1.6020599913279623 229:2.0 230:1.6020599913279623 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:1.6020599913279623 45:0.8696662242569226 78:0.9208187373853551 101:1.3010299956639813 172:2.0 231:2.3010299956639813 232:2.3010299956639813 233:2.3010299956639813 234:2.3010299956639813 235:2.0 236:2.3010299956639813 238:2.3010299956639813 239:2.3010299956639813 240:2.3010299956639813 241:2.0 242:2.3010299956639813 243:2.3010299956639813 246:2.3010299956639813 247:1.8239087243772987 248:2.3010299956639813 249:1.8239087243772987 250:2.3010299956639813 251:2.0 252:1.6989700043360187 253:1.6020599913279623 254:1.6020599913279623 255:2.3010299956639813 256:2.0 257:2.3010299956639813 258:2.0 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.8696662242569226 66:1.0222763905693972 259:1.4559319515079694 		tôi rất ủng_hộ cách làm này 
24 1 45:0.8696662242569226 46:1.2596373063640012 		ủng_hộ bộ_trưởng
25 1 45:0.8696662242569226 46:1.2596373063640012 259:1.4559319515079694 260:2.0 261:1.6020599913279623 262:1.3010299956639813 263:2.3010299956639813 264:1.3467874696576363 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1.5228787287133174 		hoan_nghênh
27 1 36:1.6989700043360187 45:0.8696662242569226 46:1.2596373063640012 265:2.3010299956639813 267:2.3010299956639813 268:2.0 269:1.6020599913279623 270:1.6989700043360187 271:2.3010299956639813 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:1.2596373063640012 174:1.6020599913279623 272:1.8239087243772987 273:2.3010299956639813 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:2.3010299956639813 		rất dũng_cảm
30 1 211:1.045757473993655 		hay
31 1 69:2.0 269:1.6020599913279623 275:2.0 276:1.8239087243772987 		mang thai hộ rất nhân_đạo 
32 1 39:1.3010299956639813 42:1.3979400086720377 64:1.5228787287133174 197:1.3467874696576363 211:1.045757473993655 277:1.3467874696576363 278:1.2218487330493364 279:2.3010299956639813 280:2.3010299956639813 281:1.0969100130080565 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:2.3010299956639813 		tôi hưởng_ứng 
34 1 45:0.8696662242569226 283:2.0 		nhiệt_liệt ủng_hộ
35 1 68:1.3979400086720377 111:2.0 132:1.0969100130080565 211:1.045757473993655 284:1.6020599913279623 285:2.0 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:1.2218487330493364 2:1.1870866309318795 21:0.7212463949054161 49:0.978810696788307 119:1.6989700043360187 150:2.0 220:1.3010299956639813 286:2.3010299956639813 287:2.3010299956639813 288:2.3010299956639813 289:2.3010299956639813 291:2.3010299956639813 292:2.0 293:2.3010299956639813 294:2.0 295:2.3010299956639813 296:2.3010299956639813 297:2.3010299956639813 298:2.0 299:2.3010299956639813 300:2.0 301:2.0 302:1.6020599913279623 303:2.0 304:2.3010299956639813 305:2.3010299956639813 306:1.6989700043360187 307:2.3010299956639813 308:1.8239087243772987 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:1.8239087243772987 310:1.3010299956639813 		hoàn_toàn đồng_ý 
38 1 1:1.2218487330493364 2:1.1870866309318795 311:2.3010299956639813 312:1.8239087243772987 313:2.3010299956639813 314:2.3010299956639813 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:1.8239087243772987 		rất mạnh_mẽ
40 1 66:1.0222763905693972 315:2.3010299956639813 317:1.3467874696576363 		tổng_thống phải vậy nói là làm
41 1 46:1.2596373063640012 190:1.3010299956639813 317:1.3467874696576363 		bộ_trưởng nói rất đúng
42 1 91:1.1870866309318795 108:2.0 112:1.3010299956639813 145:1.5228787287133174 190:1.3010299956639813 211:1.045757473993655 319:1.8239087243772987 320:2.3010299956639813 322:1.5228787287133174 323:1.8239087243772987 324:2.3010299956639813 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:1.045757473993655 		rất hay
44 1 325:2.3010299956639813 326:1.5228787287133174 		chính_xác luôn 
45 1 89:2.0 327:2.0 328:1.2596373063640012 329:1.6020599913279623 330:2.3010299956639813 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.9208187373853551 260:2.0 326:1.5228787287133174 		quá thích luôn 
47 1 78:0.9208187373853551 317:1.3467874696576363 327:2.0 328:1.2596373063640012 		bác nói chuẩn quá 
48 1 78:0.9208187373853551 211:1.045757473993655 		hay quá
49 1 45:0.8696662242569226 328:1.2596373063640012 331:2.0 		luôn_luôn ủng_hộ bác
50 1 211:1.045757473993655 		hay phải vậy chứ 
51 1 45:0.8696662242569226 220:1.3010299956639813 230:1.6020599913279623 329:1.6020599913279623 333:1.6989700043360187 334:2.3010299956639813 335:1.3467874696576363 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.8696662242569226 59:1.8239087243772987 264:1.3467874696576363 333:1.6989700043360187 335:1.3467874696576363 336:2.3010299956639813 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.8696662242569226 309:1.8239087243772987 333:1.6989700043360187 335:1.3467874696576363 337:1.5228787287133174 338:2.3010299956639813 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:1.2218487330493364 5:1.3979400086720377 36:1.6989700043360187 38:1.3979400086720377 66:1.0222763905693972 101:1.3010299956639813 184:1.4559319515079694 230:1.6020599913279623 264:1.3467874696576363 335:1.3467874696576363 340:2.0 341:1.8239087243772987 342:1.4559319515079694 343:2.3010299956639813 344:1.8239087243772987 345:1.8239087243772987 346:1.8239087243772987 347:2.3010299956639813 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:1.6020599913279623 220:1.3010299956639813 264:1.3467874696576363 348:2.3010299956639813 349:1.6020599913279623 350:2.0 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:1.3979400086720377 351:2.0 		tôi tán_thành với chính_sách này
57 1 45:0.8696662242569226 66:1.0222763905693972 67:1.4559319515079694 71:1.6989700043360187 140:1.8239087243772987 145:1.5228787287133174 272:1.8239087243772987 352:2.3010299956639813 354:2.3010299956639813 355:2.3010299956639813 356:2.3010299956639813 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:1.8239087243772987 127:1.4559319515079694 194:1.8239087243772987 264:1.3467874696576363 335:1.3467874696576363 357:2.3010299956639813 358:2.3010299956639813 359:2.0 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:1.6020599913279623 264:1.3467874696576363 310:1.3010299956639813 335:1.3467874696576363 344:1.8239087243772987 345:1.8239087243772987 360:2.0 361:1.6020599913279623 362:2.3010299956639813 363:2.3010299956639813 364:1.6989700043360187 365:1.1870866309318795 366:1.6020599913279623 367:2.0 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.8696662242569226 66:1.0222763905693972 127:1.4559319515079694 228:1.8239087243772987 283:2.0 340:2.0 368:2.3010299956639813 369:2.3010299956639813 370:1.8239087243772987 372:2.3010299956639813 373:2.3010299956639813 374:2.0 375:2.3010299956639813 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.8696662242569226 49:0.978810696788307 66:1.0222763905693972 195:1.5228787287133174 196:1.5228787287133174 259:1.4559319515079694 328:1.2596373063640012 335:1.3467874696576363 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.8696662242569226 71:1.6989700043360187 101:1.3010299956639813 349:1.6020599913279623 377:2.3010299956639813 378:2.3010299956639813 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.8696662242569226 49:0.978810696788307 61:1.6020599913279623 67:1.4559319515079694 128:0.978810696788307 230:1.6020599913279623 285:2.0 349:1.6020599913279623 370:1.8239087243772987 381:2.3010299956639813 382:2.0 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:1.5228787287133174 76:1.3010299956639813 194:1.8239087243772987 383:2.0 384:2.0 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:1.6020599913279623 328:1.2596373063640012 335:1.3467874696576363 		cảm_ơn bác hải 
66 1 1:1.2218487330493364 2:1.1870866309318795 21:0.7212463949054161 49:0.978810696788307 59:1.8239087243772987 61:1.6020599913279623 128:0.978810696788307 132:1.0969100130080565 177:1.6989700043360187 184:1.4559319515079694 186:1.4559319515079694 365:1.1870866309318795 385:2.0 386:2.3010299956639813 388:2.3010299956639813 389:2.3010299956639813 390:2.0 391:2.3010299956639813 394:1.8239087243772987 395:2.3010299956639813 396:2.3010299956639813 397:2.3010299956639813 398:2.3010299956639813 399:2.0 400:2.3010299956639813 401:2.0 402:2.3010299956639813 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:1.0222763905693972 128:0.978810696788307 190:1.3010299956639813 210:2.0 328:1.2596373063640012 329:1.6020599913279623 346:1.8239087243772987 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.8696662242569226 403:2.3010299956639813 		rất ủng_hộ phương_án này
69 1 39:1.3010299956639813 77:1.8239087243772987 78:0.9208187373853551 96:1.4559319515079694 101:1.3010299956639813 112:1.3010299956639813 136:1.0705810660021973 153:2.0 177:1.6989700043360187 227:1.5228787287133174 229:2.0 252:1.6989700043360187 281:1.0969100130080565 322:1.5228787287133174 326:1.5228787287133174 364:1.6989700043360187 370:1.8239087243772987 399:2.0 404:1.6989700043360187 405:2.0 406:2.3010299956639813 407:2.3010299956639813 408:2.0 409:2.3010299956639813 410:2.3010299956639813 411:2.3010299956639813 412:1.6989700043360187 413:1.6020599913279623 414:2.3010299956639813 415:2.3010299956639813 416:1.5228787287133174 417:2.0 418:2.3010299956639813 419:2.3010299956639813 420:2.3010299956639813 421:2.3010299956639813 422:2.3010299956639813 423:1.5228787287133174 424:2.3010299956639813 425:2.3010299956639813 427:2.3010299956639813 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.8696662242569226 66:1.0222763905693972 101:1.3010299956639813 428:2.3010299956639813 429:2.3010299956639813 430:1.6989700043360187 431:2.0 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.8696662242569226 66:1.0222763905693972 281:1.0969100130080565 326:1.5228787287133174 329:1.6020599913279623 432:2.3010299956639813 433:2.3010299956639813 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:1.6020599913279623 45:0.8696662242569226 67:1.4559319515079694 79:1.8239087243772987 127:1.4559319515079694 140:1.8239087243772987 186:1.4559319515079694 220:1.3010299956639813 227:1.5228787287133174 434:2.3010299956639813 435:1.8239087243772987 436:2.3010299956639813 437:2.3010299956639813 438:1.2596373063640012 439:2.3010299956639813 440:2.0 441:1.6989700043360187 442:2.0 443:2.3010299956639813 444:2.3010299956639813 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:1.4559319515079694 264:1.3467874696576363 335:1.3467874696576363 344:1.8239087243772987 345:1.8239087243772987 365:1.1870866309318795 383:2.0 385:2.0 445:2.3010299956639813 446:2.3010299956639813 447:1.4559319515079694 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:1.0222763905693972 190:1.3010299956639813 195:1.5228787287133174 196:1.5228787287133174 309:1.8239087243772987 413:1.6020599913279623 448:2.3010299956639813 449:1.6020599913279623 450:2.0 451:2.3010299956639813 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:1.3979400086720377 21:0.7212463949054161 45:0.8696662242569226 147:1.8239087243772987 186:1.4559319515079694 416:1.5228787287133174 417:2.0 452:1.6989700043360187 453:2.3010299956639813 454:2.0 455:1.5228787287133174 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:1.1870866309318795 5:1.3979400086720377 78:0.9208187373853551 112:1.3010299956639813 346:1.8239087243772987 413:1.6020599913279623 449:1.6020599913279623 455:1.5228787287133174 456:2.3010299956639813 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:1.5228787287133174 457:1.8239087243772987 458:2.3010299956639813 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:1.1870866309318795 39:1.3010299956639813 78:0.9208187373853551 184:1.4559319515079694 186:1.4559319515079694 277:1.3467874696576363 413:1.6020599913279623 449:1.6020599913279623 450:2.0 455:1.5228787287133174 459:1.8239087243772987 460:2.3010299956639813 461:2.3010299956639813 462:2.3010299956639813 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:1.8239087243772987 190:1.3010299956639813 192:2.0 262:1.3010299956639813 463:1.8239087243772987 464:1.8239087243772987 465:2.3010299956639813 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:1.2596373063640012 466:2.0 467:2.0 468:2.0 469:2.3010299956639813 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:1.2596373063640012 224:1.8239087243772987 466:2.0 467:2.0 468:2.0 470:2.3010299956639813 471:2.3010299956639813 472:2.3010299956639813 473:2.3010299956639813 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:1.3979400086720377 13:1.6020599913279623 127:1.4559319515079694 224:1.8239087243772987 310:1.3010299956639813 331:2.0 440:2.0 441:1.6989700043360187 474:2.3010299956639813 475:2.3010299956639813 476:2.3010299956639813 477:2.3010299956639813 478:2.3010299956639813 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:1.2596373063640012 190:1.3010299956639813 317:1.3467874696576363 479:2.3010299956639813 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:2.3010299956639813 481:2.3010299956639813 		vỗ_tay quá_trời
85 1 45:0.8696662242569226 91:1.1870866309318795 227:1.5228787287133174 455:1.5228787287133174 482:2.3010299956639813 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:2.3010299956639813 484:2.3010299956639813 		rất chặt_chẽ và nghiêm_khắc
87 0 68:1.3979400086720377 211:1.045757473993655 351:2.0 		chính_sách hay tôi tán_thành
88 1 45:0.8696662242569226 		phải vậy tôi rất ủng_hộ
89 1 211:1.045757473993655 		hay
90 1 63:2.0 196:1.5228787287133174 310:1.3010299956639813 485:2.3010299956639813 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.8696662242569226 486:1.6020599913279623 487:1.8239087243772987 488:2.3010299956639813 489:2.3010299956639813 490:2.3010299956639813 491:2.3010299956639813 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:1.3010299956639813 264:1.3467874696576363 317:1.3467874696576363 		ông nói đúng 
93 1 21:0.7212463949054161 492:2.3010299956639813 493:2.3010299956639813 494:2.0 		1000 like cho trump
94 1 2:1.1870866309318795 190:1.3010299956639813 328:1.2596373063640012 494:2.0 495:2.3010299956639813 496:2.3010299956639813 497:2.3010299956639813 498:2.0 499:2.0 500:2.3010299956639813 501:2.0 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.7212463949054161 39:1.3010299956639813 77:1.8239087243772987 97:1.3979400086720377 132:1.0969100130080565 159:2.0 171:1.8239087243772987 197:1.3467874696576363 213:2.0 220:1.3010299956639813 502:2.3010299956639813 503:2.0 504:2.3010299956639813 505:1.8239087243772987 506:2.3010299956639813 507:2.3010299956639813 508:2.0 509:2.3010299956639813 510:2.3010299956639813 511:2.3010299956639813 512:2.3010299956639813 513:2.3010299956639813 514:1.6989700043360187 515:2.3010299956639813 516:2.3010299956639813 517:1.8239087243772987 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.7212463949054161 38:1.3979400086720377 101:1.3010299956639813 		vậy có phải là tốt cho dân không
97 1 78:0.9208187373853551 112:1.3010299956639813 131:1.4559319515079694 211:1.045757473993655 423:1.5228787287133174 518:2.0 		hay quá mình cũng sắp mua nhà 
98 1 1:1.2218487330493364 2:1.1870866309318795 132:1.0969100130080565 222:1.8239087243772987 269:1.6020599913279623 270:1.6989700043360187 519:2.3010299956639813 520:2.0 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
99 1 43:1.6020599913279623 45:0.8696662242569226 122:1.3010299956639813 186:1.4559319515079694 408:2.0 454:2.0 520:2.0 521:1.8239087243772987 522:2.0 523:2.3010299956639813 524:2.3010299956639813 525:2.3010299956639813 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
100 1 2:1.1870866309318795 39:1.3010299956639813 195:1.5228787287133174 196:1.5228787287133174 230:1.6020599913279623 256:2.0 503:2.0 521:1.8239087243772987 522:2.0 526:2.3010299956639813 527:2.3010299956639813 		phải công_nhận là trên cả tuyệt_vời đà nẵng là thành_phố đáng sống nhất việt nam cơ_mà 
101 2 142:1.4559319515079694 528:1.8239087243772987 		không_thể chấp_nhận
