1 1 1:1.2471545992518625 2:1.2144362394649855 4:2.0043213737826426 5:1.414973347970818 7:2.303196057420489 8:2.303196057420489 10:2.303196057420489 11:2.303196057420489 13:1.6127838567197355 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
22 1 43:1.6127838567197355 45:0.9246621112797515 78:0.9700367618305746 101:1.3222192947339193 172:2.0043213737826426 231:2.303196057420489 232:2.303196057420489 233:2.303196057420489 234:2.303196057420489 235:2.0043213737826426 236:2.303196057420489 238:2.303196057420489 239:2.303196057420489 240:2.303196057420489 241:2.0043213737826426 242:2.303196057420489 243:2.303196057420489 246:2.303196057420489 247:1.8303747668713632 248:2.303196057420489 249:1.8303747668713632 250:2.303196057420489 251:2.0043213737826426 252:1.7075701760979363 253:1.6127838567197355 254:1.6127838567197355 255:2.303196057420489 256:2.0043213737826426 257:2.303196057420489 258:2.0043213737826426 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.9246621112797515 66:1.0616905101048648 259:1.4708723014409653 		tôi rất ủng_hộ cách làm này 
24 1 45:0.9246621112797515 46:1.2828897662136336 		ủng_hộ bộ_trưởng
25 1 45:0.9246621112797515 46:1.2828897662136336 259:1.4708723014409653 260:2.0043213737826426 261:1.6127838567197355 262:1.3222192947339193 263:2.303196057420489 264:1.3659037608181215 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1.5357159539010243 		hoan_nghênh
27 1 36:1.7075701760979363 45:0.9246621112797515 46:1.2828897662136336 265:2.303196057420489 267:2.303196057420489 268:2.0043213737826426 269:1.6127838567197355 270:1.7075701760979363 271:2.303196057420489 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:1.2828897662136336 174:1.6127838567197355 272:1.8303747668713632 273:2.303196057420489 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:2.303196057420489 		rất dũng_cảm
30 1 211:1.0831839733021977 		hay
31 1 69:2.0043213737826426 269:1.6127838567197355 275:2.0043213737826426 276:1.8303747668713632 		mang thai hộ rất nhân_đạo 
32 1 39:1.3222192947339193 42:1.414973347970818 64:1.5357159539010243 197:1.3659037608181215 211:1.0831839733021977 277:1.3659037608181215 278:1.2471545992518625 279:2.303196057420489 280:2.303196057420489 281:1.130333768495006 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:2.303196057420489 		tôi hưởng_ứng 
34 1 45:0.9246621112797515 283:2.0043213737826426 		nhiệt_liệt ủng_hộ
35 1 68:1.414973347970818 111:2.0043213737826426 132:1.130333768495006 211:1.0831839733021977 284:1.6127838567197355 285:2.0043213737826426 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:1.2471545992518625 2:1.2144362394649855 21:0.7967933569592355 49:1.0221729752029969 119:1.7075701760979363 150:2.0043213737826426 220:1.3222192947339193 286:2.303196057420489 287:2.303196057420489 288:2.303196057420489 289:2.303196057420489 291:2.303196057420489 292:2.0043213737826426 293:2.303196057420489 294:2.0043213737826426 295:2.303196057420489 296:2.303196057420489 297:2.303196057420489 298:2.0043213737826426 299:2.303196057420489 300:2.0043213737826426 301:2.0043213737826426 302:1.6127838567197355 303:2.0043213737826426 304:2.303196057420489 305:2.303196057420489 306:1.7075701760979363 307:2.303196057420489 308:1.8303747668713632 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:1.8303747668713632 310:1.3222192947339193 		hoàn_toàn đồng_ý 
38 1 1:1.2471545992518625 2:1.2144362394649855 311:2.303196057420489 312:1.8303747668713632 313:2.303196057420489 314:2.303196057420489 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:1.8303747668713632 		rất mạnh_mẽ
40 1 66:1.0616905101048648 315:2.303196057420489 317:1.3659037608181215 		tổng_thống phải vậy nói là làm
41 1 46:1.2828897662136336 190:1.3222192947339193 317:1.3659037608181215 		bộ_trưởng nói rất đúng
42 1 91:1.2144362394649855 108:2.0043213737826426 112:1.3222192947339193 145:1.5357159539010243 190:1.3222192947339193 211:1.0831839733021977 319:1.8303747668713632 320:2.303196057420489 322:1.5357159539010243 323:1.8303747668713632 324:2.303196057420489 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:1.0831839733021977 		rất hay
44 1 325:2.303196057420489 326:1.5357159539010243 		chính_xác luôn 
45 1 89:2.0043213737826426 327:2.0043213737826426 328:1.2828897662136336 329:1.6127838567197355 330:2.303196057420489 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.9700367618305746 260:2.0043213737826426 326:1.5357159539010243 		quá thích luôn 
47 1 78:0.9700367618305746 317:1.3659037608181215 327:2.0043213737826426 328:1.2828897662136336 		bác nói chuẩn quá 
48 1 78:0.9700367618305746 211:1.0831839733021977 		hay quá
49 1 45:0.9246621112797515 328:1.2828897662136336 331:2.0043213737826426 		luôn_luôn ủng_hộ bác
50 1 211:1.0831839733021977 		hay phải vậy chứ 
51 1 45:0.9246621112797515 220:1.3222192947339193 230:1.6127838567197355 329:1.6127838567197355 333:1.7075701760979363 334:2.303196057420489 335:1.3659037608181215 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.9246621112797515 59:1.8303747668713632 264:1.3659037608181215 333:1.7075701760979363 335:1.3659037608181215 336:2.303196057420489 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.9246621112797515 309:1.8303747668713632 333:1.7075701760979363 335:1.3659037608181215 337:1.5357159539010243 338:2.303196057420489 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:1.2471545992518625 5:1.414973347970818 36:1.7075701760979363 38:1.414973347970818 66:1.0616905101048648 101:1.3222192947339193 184:1.4708723014409653 230:1.6127838567197355 264:1.3659037608181215 335:1.3659037608181215 340:2.0043213737826426 341:1.8303747668713632 342:1.4708723014409653 343:2.303196057420489 344:1.8303747668713632 345:1.8303747668713632 346:1.8303747668713632 347:2.303196057420489 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:1.6127838567197355 220:1.3222192947339193 264:1.3659037608181215 348:2.303196057420489 349:1.6127838567197355 350:2.0043213737826426 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:1.414973347970818 351:2.0043213737826426 		tôi tán_thành với chính_sách này
57 1 45:0.9246621112797515 66:1.0616905101048648 67:1.4708723014409653 71:1.7075701760979363 140:1.8303747668713632 145:1.5357159539010243 272:1.8303747668713632 352:2.303196057420489 354:2.303196057420489 355:2.303196057420489 356:2.303196057420489 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:1.8303747668713632 127:1.4708723014409653 194:1.8303747668713632 264:1.3659037608181215 335:1.3659037608181215 357:2.303196057420489 358:2.303196057420489 359:2.0043213737826426 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:1.6127838567197355 264:1.3659037608181215 310:1.3222192947339193 335:1.3659037608181215 344:1.8303747668713632 345:1.8303747668713632 360:2.0043213737826426 361:1.6127838567197355 362:2.303196057420489 363:2.303196057420489 364:1.7075701760979363 365:1.2144362394649855 366:1.6127838567197355 367:2.0043213737826426 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.9246621112797515 66:1.0616905101048648 127:1.4708723014409653 228:1.8303747668713632 283:2.0043213737826426 340:2.0043213737826426 368:2.303196057420489 369:2.303196057420489 370:1.8303747668713632 372:2.303196057420489 373:2.303196057420489 374:2.0043213737826426 375:2.303196057420489 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.9246621112797515 49:1.0221729752029969 66:1.0616905101048648 195:1.5357159539010243 196:1.5357159539010243 259:1.4708723014409653 328:1.2828897662136336 335:1.3659037608181215 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.9246621112797515 71:1.7075701760979363 101:1.3222192947339193 349:1.6127838567197355 377:2.303196057420489 378:2.303196057420489 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.9246621112797515 49:1.0221729752029969 61:1.6127838567197355 67:1.4708723014409653 128:1.0221729752029969 230:1.6127838567197355 285:2.0043213737826426 349:1.6127838567197355 370:1.8303747668713632 381:2.303196057420489 382:2.0043213737826426 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:1.5357159539010243 76:1.3222192947339193 194:1.8303747668713632 383:2.0043213737826426 384:2.0043213737826426 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:1.6127838567197355 328:1.2828897662136336 335:1.3659037608181215 		cảm_ơn bác hải 
66 1 1:1.2471545992518625 2:1.2144362394649855 21:0.7967933569592355 49:1.0221729752029969 59:1.8303747668713632 61:1.6127838567197355 128:1.0221729752029969 132:1.130333768495006 177:1.7075701760979363 184:1.4708723014409653 186:1.4708723014409653 365:1.2144362394649855 385:2.0043213737826426 386:2.303196057420489 388:2.303196057420489 389:2.303196057420489 390:2.0043213737826426 391:2.303196057420489 394:1.8303747668713632 395:2.303196057420489 396:2.303196057420489 397:2.303196057420489 398:2.303196057420489 399:2.0043213737826426 400:2.303196057420489 401:2.0043213737826426 402:2.303196057420489 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:1.0616905101048648 128:1.0221729752029969 190:1.3222192947339193 210:2.0043213737826426 328:1.2828897662136336 329:1.6127838567197355 346:1.8303747668713632 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.9246621112797515 403:2.303196057420489 		rất ủng_hộ phương_án này
69 1 39:1.3222192947339193 77:1.8303747668713632 78:0.9700367618305746 96:1.4708723014409653 101:1.3222192947339193 112:1.3222192947339193 136:1.1060108048356843 153:2.0043213737826426 177:1.7075701760979363 227:1.5357159539010243 229:2.0043213737826426 252:1.7075701760979363 281:1.130333768495006 322:1.5357159539010243 326:1.5357159539010243 364:1.7075701760979363 370:1.8303747668713632 399:2.0043213737826426 404:1.7075701760979363 405:2.0043213737826426 406:2.303196057420489 407:2.303196057420489 408:2.0043213737826426 409:2.303196057420489 410:2.303196057420489 411:2.303196057420489 412:1.7075701760979363 413:1.6127838567197355 414:2.303196057420489 415:2.303196057420489 416:1.5357159539010243 417:2.0043213737826426 418:2.303196057420489 419:2.303196057420489 420:2.303196057420489 421:2.303196057420489 422:2.303196057420489 423:1.5357159539010243 424:2.303196057420489 425:2.303196057420489 427:2.303196057420489 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.9246621112797515 66:1.0616905101048648 101:1.3222192947339193 428:2.303196057420489 429:2.303196057420489 430:1.7075701760979363 431:2.0043213737826426 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.9246621112797515 66:1.0616905101048648 281:1.130333768495006 326:1.5357159539010243 329:1.6127838567197355 432:2.303196057420489 433:2.303196057420489 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:1.6127838567197355 45:0.9246621112797515 67:1.4708723014409653 79:1.8303747668713632 127:1.4708723014409653 140:1.8303747668713632 186:1.4708723014409653 220:1.3222192947339193 227:1.5357159539010243 434:2.303196057420489 435:1.8303747668713632 436:2.303196057420489 437:2.303196057420489 438:1.2828897662136336 439:2.303196057420489 440:2.0043213737826426 441:1.7075701760979363 442:2.0043213737826426 443:2.303196057420489 444:2.303196057420489 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:1.4708723014409653 264:1.3659037608181215 335:1.3659037608181215 344:1.8303747668713632 345:1.8303747668713632 365:1.2144362394649855 383:2.0043213737826426 385:2.0043213737826426 445:2.303196057420489 446:2.303196057420489 447:1.4708723014409653 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:1.0616905101048648 190:1.3222192947339193 195:1.5357159539010243 196:1.5357159539010243 309:1.8303747668713632 413:1.6127838567197355 448:2.303196057420489 449:1.6127838567197355 450:2.0043213737826426 451:2.303196057420489 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:1.414973347970818 21:0.7967933569592355 45:0.9246621112797515 147:1.8303747668713632 186:1.4708723014409653 416:1.5357159539010243 417:2.0043213737826426 452:1.7075701760979363 453:2.303196057420489 454:2.0043213737826426 455:1.5357159539010243 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:1.2144362394649855 5:1.414973347970818 78:0.9700367618305746 112:1.3222192947339193 346:1.8303747668713632 413:1.6127838567197355 449:1.6127838567197355 455:1.5357159539010243 456:2.303196057420489 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:1.5357159539010243 457:1.8303747668713632 458:2.303196057420489 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:1.2144362394649855 39:1.3222192947339193 78:0.9700367618305746 184:1.4708723014409653 186:1.4708723014409653 277:1.3659037608181215 413:1.6127838567197355 449:1.6127838567197355 450:2.0043213737826426 455:1.5357159539010243 459:1.8303747668713632 460:2.303196057420489 461:2.303196057420489 462:2.303196057420489 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:1.8303747668713632 190:1.3222192947339193 192:2.0043213737826426 262:1.3222192947339193 463:1.8303747668713632 464:1.8303747668713632 465:2.303196057420489 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:1.2828897662136336 466:2.0043213737826426 467:2.0043213737826426 468:2.0043213737826426 469:2.303196057420489 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:1.2828897662136336 224:1.8303747668713632 466:2.0043213737826426 467:2.0043213737826426 468:2.0043213737826426 470:2.303196057420489 471:2.303196057420489 472:2.303196057420489 473:2.303196057420489 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:1.414973347970818 13:1.6127838567197355 127:1.4708723014409653 224:1.8303747668713632 310:1.3222192947339193 331:2.0043213737826426 440:2.0043213737826426 441:1.7075701760979363 474:2.303196057420489 475:2.303196057420489 476:2.303196057420489 477:2.303196057420489 478:2.303196057420489 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:1.2828897662136336 190:1.3222192947339193 317:1.3659037608181215 479:2.303196057420489 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:2.303196057420489 481:2.303196057420489 		vỗ_tay quá_trời
85 1 45:0.9246621112797515 91:1.2144362394649855 227:1.5357159539010243 455:1.5357159539010243 482:2.303196057420489 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:2.303196057420489 484:2.303196057420489 		rất chặt_chẽ và nghiêm_khắc
87 0 68:1.414973347970818 211:1.0831839733021977 351:2.0043213737826426 		chính_sách hay tôi tán_thành
88 1 45:0.9246621112797515 		phải vậy tôi rất ủng_hộ
89 1 211:1.0831839733021977 		hay
90 1 63:2.0043213737826426 196:1.5357159539010243 310:1.3222192947339193 485:2.303196057420489 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.9246621112797515 486:1.6127838567197355 487:1.8303747668713632 488:2.303196057420489 489:2.303196057420489 490:2.303196057420489 491:2.303196057420489 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:1.3222192947339193 264:1.3659037608181215 317:1.3659037608181215 		ông nói đúng 
93 1 21:0.7967933569592355 492:2.303196057420489 493:2.303196057420489 494:2.0043213737826426 		1000 like cho trump
94 1 2:1.2144362394649855 190:1.3222192947339193 328:1.2828897662136336 494:2.0043213737826426 495:2.303196057420489 496:2.303196057420489 497:2.303196057420489 498:2.0043213737826426 499:2.0043213737826426 500:2.303196057420489 501:2.0043213737826426 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.7967933569592355 39:1.3222192947339193 77:1.8303747668713632 97:1.414973347970818 132:1.130333768495006 159:2.0043213737826426 171:1.8303747668713632 197:1.3659037608181215 213:2.0043213737826426 220:1.3222192947339193 502:2.303196057420489 503:2.0043213737826426 504:2.303196057420489 505:1.8303747668713632 506:2.303196057420489 507:2.303196057420489 508:2.0043213737826426 509:2.303196057420489 510:2.303196057420489 511:2.303196057420489 512:2.303196057420489 513:2.303196057420489 514:1.7075701760979363 515:2.303196057420489 516:2.303196057420489 517:1.8303747668713632 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.7967933569592355 38:1.414973347970818 101:1.3222192947339193 		vậy có phải là tốt cho dân không
97 1 78:0.9700367618305746 112:1.3222192947339193 131:1.4708723014409653 211:1.0831839733021977 423:1.5357159539010243 518:2.0043213737826426 		hay quá mình cũng sắp mua nhà 
98 1 1:1.2471545992518625 2:1.2144362394649855 132:1.130333768495006 222:1.8303747668713632 269:1.6127838567197355 270:1.7075701760979363 519:2.303196057420489 520:2.0043213737826426 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
