1 1 1:0.09398836758205759 2:0.09131435962725405 4:0.1538461595773697 5:0.10753385082687394 7:0.17700231395261756 8:0.17700231395261756 10:0.17700231395261756 11:0.17700231395261756 13:0.12323538853918059 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
16 1 34:0.1538461595773697 38:0.10753385082687394 49:0.07529313332706515 186:0.11199476967274316 187:0.17700231395261756 189:0.13069000520212182 190:0.10007923416393273 191:0.17700231395261756 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:0.03941447408501311 37:0.06451612710952759 132:0.07076838582694132 136:0.03453487206762565 163:0.06451612710952759 164:0.06451612710952759 192:0.06451612710952759 193:0.07422677184154657 194:0.05883576354905106 195:0.04912511881703208 196:0.04912511881703208 197:0.043444755790975544 198:0.07422677184154657 199:0.04912511881703208 202:0.07422677184154657 203:0.07422677184154657 204:0.07422677184154657 205:0.06451612710952759 206:0.07422677184154657 207:0.07422677184154657 208:0.07422677184154657 209:0.07422677184154657 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:0.059354332431042434 78:0.04604093755533118 128:0.04894053556868615 132:0.05484550146766447 197:0.06733937448631667 210:0.10000000149011612 211:0.052287874478832784 212:0.1150515014976 213:0.10000000149011612 214:0.10000000149011612 215:0.1150515014976 216:0.10000000149011612 217:0.1150515014976 218:0.1150515014976 219:0.10000000149011612 220:0.06505150075254194 221:0.1150515014976 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:0.09971909506350203 177:0.1544518231790246 222:0.1658098889758195 223:0.2091845512945472 224:0.1658098889758195 225:0.2091845512945472 226:0.2091845512945472 227:0.1384435249180582 228:0.1658098889758195 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:0.5228787369968275 		rất hay
21 1 2:0.1318985155307071 64:0.16920874889551646 78:0.10231319380510993 174:0.17800666702935994 229:0.2222222238779068 230:0.17800666702935994 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:0.03408638171486776 45:0.018503536100403613 78:0.019591887409099142 101:0.02768148839291295 172:0.042553190141916275 231:0.09791616692774217 232:0.04895808346387109 233:0.04895808346387109 234:0.04895808346387109 235:0.042553190141916275 236:0.04895808346387109 238:0.04895808346387109 239:0.04895808346387109 240:0.04895808346387109 241:0.042553190141916275 242:0.04895808346387109 243:0.04895808346387109 246:0.04895808346387109 247:0.038806567374963574 248:0.04895808346387109 249:0.038806567374963574 250:0.04895808346387109 251:0.042553190141916275 252:0.03614829681996146 253:0.03408638171486776 254:0.03408638171486776 255:0.04895808346387109 256:0.042553190141916275 257:0.04895808346387109 258:0.042553190141916275 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.14494437502916596 66:0.17037940350593464 259:0.24265533248302046 		tôi rất ủng_hộ cách làm này 
24 1 45:0.4348331121284613 46:0.6298186531820006 		ủng_hộ bộ_trưởng
25 1 45:0.08696662372159593 46:0.12596373251340598 259:0.1455931973203046 260:0.20000000298023224 261:0.16020600152005166 262:0.1301030015050839 263:0.2301030029952 264:0.13467874897263335 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1.5228787287133174 		hoan_nghênh
27 1 36:0.1544518231790246 45:0.07906056819772689 46:0.1145124858094653 265:0.2091845512945472 267:0.2091845512945472 268:0.1818181872367859 269:0.14564182173391552 270:0.1544518231790246 271:0.2091845512945472 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:0.15745466329550015 174:0.20025749891599529 272:0.22798859054716233 273:0.28762874945799766 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:1.1505149978319906 		rất dũng_cảm
30 1 211:1.045757473993655 		hay
31 1 69:0.4000000059604645 269:0.3204120030401033 275:0.4000000059604645 276:0.3647817503111313 		mang thai hộ rất nhân_đạo 
32 1 39:0.08131437472899883 42:0.08737125054200236 64:0.09517992054458234 197:0.08417421685360227 211:0.06535984212460344 277:0.08417421685360227 278:0.07636554581558352 279:0.14381437472899883 280:0.14381437472899883 281:0.06855687581300353 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:1.1505149978319906 		tôi hưởng_ứng 
34 1 45:0.4348331121284613 283:1.0 		nhiệt_liệt ủng_hộ
35 1 68:0.23299000838898276 111:0.3333333432674408 132:0.18281834094975372 211:0.17429291752660941 284:0.26701000651217843 285:0.3333333432674408 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:0.033022939530693365 2:0.03208342323449877 21:0.019493146280269064 49:0.02645434379701643 119:0.045918109337176646 150:0.054054055362939835 220:0.035162973707233106 286:0.06219000138870302 287:0.06219000138870302 288:0.06219000138870302 289:0.06219000138870302 291:0.06219000138870302 292:0.054054055362939835 293:0.06219000138870302 294:0.054054055362939835 295:0.06219000138870302 296:0.06219000138870302 297:0.12438000277740605 298:0.054054055362939835 299:0.06219000138870302 300:0.054054055362939835 301:0.054054055362939835 302:0.043298919732996294 303:0.054054055362939835 304:0.06219000138870302 305:0.06219000138870302 306:0.045918109337176646 307:0.06219000138870302 308:0.049294831582219735 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:0.9119543621886493 310:0.6505149978319906 		hoàn_toàn đồng_ý 
38 1 1:0.20364146157721105 2:0.197847777718303 311:0.3835050107066698 312:0.30398479645566906 313:0.3835050107066698 314:0.3835050107066698 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:0.9119543621886493 		rất mạnh_mẽ
40 1 66:0.17037940350593464 315:0.3835050107066698 317:0.22446458496583843 		tổng_thống phải vậy nói là làm
41 1 46:0.3149093265910003 190:0.3252574989159953 317:0.3366968674144091 		bộ_trưởng nói rất đúng
42 1 91:0.06982862560906598 108:0.11764705926179886 112:0.07653117650062916 145:0.08958110202273428 190:0.07653117650062916 211:0.06151514575820031 319:0.10728874889246401 320:0.13535470613152858 322:0.08958110202273428 323:0.10728874889246401 324:0.13535470613152858 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:0.5228787369968275 		rất hay
44 1 325:1.1505149978319906 326:0.7614393643566587 		chính_xác luôn 
45 1 89:0.2857142984867096 327:0.2857142984867096 328:0.17994819466773954 329:0.2288657232779464 330:0.3287185855040054 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.306939588275964 260:0.6666666865348816 326:0.5076262580328801 		quá thích luôn 
47 1 78:0.23020468434633878 317:0.3366968674144091 327:0.5 328:0.3149093265910003 		bác nói chuẩn quá 
48 1 78:0.46040936869267757 211:0.5228787369968275 		hay quá
49 1 45:0.2898887500583319 328:0.41987911463470606 331:0.6666666865348816 		luôn_luôn ủng_hộ bác
50 1 211:0.26143936849841376 		hay phải vậy chứ 
51 1 45:0.10870827803211533 220:0.16262874945799766 230:0.20025749891599529 329:0.20025749891599529 333:0.21237125054200234 334:0.5752574989159953 335:0.16834843370720454 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.12423803759057606 59:0.2605584008446246 264:0.19239821855196113 333:0.2427100114694138 335:0.19239821855196113 336:0.3287185855040054 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.12423803759057606 309:0.2605584008446246 333:0.2427100114694138 335:0.19239821855196113 337:0.4351082276546576 338:0.3287185855040054 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:0.05312385894817576 5:0.060780001509160846 36:0.07386826243399135 38:0.060780001509160846 66:0.04444680041785995 101:0.05656652260424145 184:0.06330139037507893 230:0.06965478352907195 264:0.05855597803232643 335:0.05855597803232643 340:0.08695652335882187 341:0.07930038079783679 342:0.06330139037507893 343:0.10004478428365239 344:0.07930038079783679 345:0.07930038079783679 346:0.07930038079783679 347:0.10004478428365239 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:0.4577314465558928 220:0.1858614362606506 264:0.38479643710392225 348:0.3287185855040054 349:0.2288657232779464 350:0.2857142984867096 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:0.2795880059005934 351:0.4000000059604645 		tôi tán_thành với chính_sách này
57 1 45:0.05115683691156952 66:0.12026781110325571 67:0.08564305629010227 71:0.09993941239206913 140:0.10728874889246401 145:0.08958110202273428 272:0.10728874889246401 352:0.27070941226305717 354:0.13535470613152858 355:0.13535470613152858 356:0.13535470613152858 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:0.1658098889758195 127:0.13235745408164754 194:0.1658098889758195 264:0.2448704563263692 335:0.1224352281631846 357:0.2091845512945472 358:0.2091845512945472 359:0.1818181872367859 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:0.08431894754022312 264:0.07088355156273604 310:0.0684752634398637 335:0.07088355156273604 344:0.09599519673507777 345:0.09599519673507777 360:0.10526315867900848 361:0.08431894754022312 362:0.12110684277936794 363:0.12110684277936794 364:0.08941947457864903 365:0.06247824419875601 366:0.08431894754022312 367:0.10526315867900848 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.041412678116938974 66:0.04867982902908471 127:0.06933009422032453 228:0.08685279801667839 283:0.095238097012043 340:0.095238097012043 368:0.10957285897733357 369:0.10957285897733357 370:0.08685279801667839 372:0.10957285897733357 373:0.10957285897733357 374:0.095238097012043 375:0.10957285897733357 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.06689740435803955 49:0.07529313332706515 66:0.0786366483578585 195:0.11714452195730546 196:0.11714452195730546 259:0.11199476967274316 328:0.19379036204448424 335:0.10359903998687532 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.14494437502916596 71:0.5663233516564236 101:0.21683833907294944 349:0.26701000651217843 377:0.3835050107066698 378:0.3835050107066698 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.05115683691156952 49:0.0575771000255683 61:0.09423882337035887 67:0.17128611258020454 128:0.0575771000255683 230:0.09423882337035887 285:0.11764705926179886 349:0.09423882337035887 370:0.10728874889246401 381:0.13535470613152858 382:0.11764705926179886 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:0.19035984108916468 76:0.16262874945799766 194:0.22798859054716233 383:0.25 384:0.25 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:0.5340200130243569 328:0.41987911463470606 335:0.44892916993167686 		cảm_ơn bác hải 
66 1 1:0.033022939530693365 2:0.03208342323449877 21:0.019493146280269064 49:0.02645434379701643 59:0.049294831582219735 61:0.043298919732996294 128:0.02645434379701643 132:0.02964621728565027 177:0.045918109337176646 184:0.03934951315574241 186:0.03934951315574241 365:0.03208342323449877 385:0.054054055362939835 386:0.06219000138870302 388:0.12438000277740605 389:0.06219000138870302 390:0.054054055362939835 391:0.12438000277740605 394:0.049294831582219735 395:0.06219000138870302 396:0.06219000138870302 397:0.06219000138870302 398:0.06219000138870302 399:0.054054055362939835 400:0.06219000138870302 401:0.054054055362939835 402:0.06219000138870302 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:0.11358626646510554 128:0.10875674489789056 190:0.14455888948415668 210:0.2222222238779068 328:0.13995970174989228 329:0.17800666702935994 346:0.20265652644071974 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.21741655606423066 403:0.5752574989159953 		rất ủng_hộ phương_án này
69 1 39:0.02768148839291295 77:0.038806567374963574 78:0.019591887409099142 96:0.030977274583104925 101:0.02768148839291295 112:0.02768148839291295 136:0.022778319831963458 153:0.042553190141916275 177:0.03614829681996146 227:0.03240167405300876 229:0.042553190141916275 252:0.03614829681996146 281:0.04667702035210368 322:0.03240167405300876 326:0.03240167405300876 364:0.03614829681996146 370:0.038806567374963574 399:0.08510638028383255 404:0.03614829681996146 405:0.042553190141916275 406:0.04895808346387109 407:0.04895808346387109 408:0.042553190141916275 409:0.04895808346387109 410:0.04895808346387109 411:0.04895808346387109 412:0.03614829681996146 413:0.06817276342973552 414:0.04895808346387109 415:0.04895808346387109 416:0.03240167405300876 417:0.042553190141916275 418:0.04895808346387109 419:0.04895808346387109 420:0.04895808346387109 421:0.04895808346387109 422:0.04895808346387109 423:0.03240167405300876 424:0.04895808346387109 425:0.04895808346387109 427:0.04895808346387109 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.07247218751458298 66:0.08518970175296732 101:0.21683833907294944 428:0.3835050107066698 429:0.1917525053533349 430:0.1415808379141059 431:0.1666666716337204 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.2898887500583319 66:0.11358626646510554 281:0.12187889124229699 326:0.16920874889551646 329:0.17800666702935994 432:0.2556700014231101 433:0.2556700014231101 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:0.06408239822076524 45:0.03478664819273471 67:0.058237276758614176 79:0.07295634734439048 127:0.058237276758614176 140:0.07295634734439048 186:0.058237276758614176 220:0.05204119866334779 227:0.06091514778697301 434:0.09204119776927812 435:0.07295634734439048 436:0.09204119776927812 437:0.09204119776927812 438:0.05038549112835653 439:0.09204119776927812 440:0.07999999821186066 441:0.0679587986544432 442:0.07999999821186066 443:0.09204119776927812 444:0.09204119776927812 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:0.09099574696924809 264:0.08417421685360227 335:0.08417421685360227 344:0.11399429527358117 345:0.11399429527358117 365:0.07419291443324247 383:0.125 385:0.125 445:0.14381437472899883 446:0.14381437472899883 447:0.09099574696924809 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:0.06389227441058733 190:0.08131437472899883 195:0.09517992054458234 196:0.09517992054458234 309:0.11399429527358117 413:0.10012874945799764 448:0.14381437472899883 449:0.10012874945799764 450:0.125 451:0.14381437472899883 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:0.10753385082687394 21:0.055480493982610624 45:0.06689740435803955 147:0.14030067633255333 186:0.11199476967274316 416:0.11714452195730546 417:0.1538461595773697 452:0.13069000520212182 453:0.17700231395261756 454:0.1538461595773697 455:0.11714452195730546 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:0.09131435962725405 5:0.10753385082687394 78:0.07083221320680971 112:0.10007923416393273 346:0.14030067633255333 413:0.12323538853918059 449:0.12323538853918059 455:0.11714452195730546 456:0.17700231395261756 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:0.25381312901644004 457:0.30398479645566906 458:0.3835050107066698 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:0.1874347237517834 39:0.0684752634398637 78:0.04846414443399944 184:0.07662799801871094 186:0.07662799801871094 277:0.07088355156273604 413:0.08431894754022312 449:0.08431894754022312 450:0.10526315867900848 455:0.08015151263471833 459:0.09599519673507777 460:0.12110684277936794 461:0.12110684277936794 462:0.12110684277936794 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:0.18239087515556565 190:0.1301030015050839 192:0.20000000298023224 262:0.1301030015050839 463:0.18239087515556565 464:0.18239087515556565 465:0.2301030029952 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:0.17994819466773954 466:0.2857142984867096 467:0.2857142984867096 468:0.2857142984867096 469:0.3287185855040054 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:0.1145124858094653 224:0.1658098889758195 466:0.1818181872367859 467:0.1818181872367859 468:0.1818181872367859 470:0.2091845512945472 471:0.2091845512945472 472:0.2091845512945472 473:0.2091845512945472 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:0.06989700147514835 13:0.08010300076002583 127:0.0727965986601523 224:0.09119543757778283 310:0.06505150075254194 331:0.10000000149011612 440:0.10000000149011612 441:0.08494850148263224 474:0.1150515014976 475:0.1150515014976 476:0.1150515014976 477:0.1150515014976 478:0.1150515014976 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:0.17994819466773954 190:0.1858614362606506 317:0.19239821855196113 479:0.3287185855040054 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:1.1505149978319906 481:1.1505149978319906 		vỗ_tay quá_trời
85 1 45:0.08696662372159593 91:0.11870866486208487 227:0.15228787514059788 455:0.15228787514059788 482:0.2301030029952 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:0.5752574989159953 484:0.5752574989159953 		rất chặt_chẽ và nghiêm_khắc
87 0 68:0.34948500216800943 211:0.26143936849841376 351:0.5 		chính_sách hay tôi tán_thành
88 1 45:0.17393324744319186 		phải vậy tôi rất ủng_hộ
89 1 211:1.045757473993655 		hay
90 1 63:0.25 196:0.19035984108916468 310:0.16262874945799766 485:0.28762874945799766 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.08696662372159593 486:0.16020600152005166 487:0.18239087515556565 488:0.2301030029952 489:0.2301030029952 490:0.2301030029952 491:0.4602060059904 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:0.4336766781458989 264:0.44892916993167686 317:0.44892916993167686 		ông nói đúng 
93 1 21:0.18031159872635402 492:0.5752574989159953 493:0.5752574989159953 494:0.5 		1000 like cho trump
94 1 2:0.08479190599991338 190:0.0929307181303253 328:0.08997409733386977 494:0.1428571492433548 495:0.1643592927520027 496:0.1643592927520027 497:0.1643592927520027 498:0.1428571492433548 499:0.1428571492433548 500:0.1643592927520027 501:0.1428571492433548 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.026712829639967427 39:0.048186296494718894 77:0.06755217548023991 97:0.05177555626250009 132:0.12187889124229699 159:0.07407407462596893 171:0.06755217548023991 197:0.04988101776636981 213:0.07407407462596893 220:0.048186296494718894 502:0.08522333380770336 503:0.07407407462596893 504:0.08522333380770336 505:0.06755217548023991 506:0.08522333380770336 507:0.08522333380770336 508:0.07407407462596893 509:0.08522333380770336 510:0.17044666761540672 511:0.08522333380770336 512:0.17044666761540672 513:0.08522333380770336 514:0.0629248154442345 515:0.08522333380770336 516:0.08522333380770336 517:0.06755217548023991 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.09015579936317701 38:0.17474250108400471 101:0.16262874945799766 		vậy có phải là tốt cho dân không
97 1 78:0.1315455397927372 112:0.1858614362606506 131:0.2079902880847428 211:0.1493939315346653 423:0.2175541138273288 518:0.2857142984867096 		hay quá mình cũng sắp mua nhà 
98 1 1:0.12218487512563013 2:0.23741732972416973 132:0.10969100293532894 222:0.18239087515556565 269:0.16020600152005166 270:0.16989700296526447 519:0.2301030029952 520:0.20000000298023224 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
