1 1 1:1.1949766120282994 2:1.1578982409406087 4:1.99563519459755 5:1.380211241711606 7:2.298853076409707 8:2.298853076409707 10:2.298853076409707 11:2.298853076409707 13:1.591064607026499 		thật tuyệt_vời vì chủ_quyền đất_nước tôi sẵn_sàng đóng_góp và hy_sinh xương_máu để bảo_vệ 
12 1 1:1.1949766120282994 70:1.6901960800285136 72:1.99563519459755 97:1.380211241711606 101:1.2787536009528289 102:2.298853076409707 103:1.99563519459755 104:2.298853076409707 105:1.99563519459755 106:1.99563519459755 107:2.298853076409707 108:1.99563519459755 109:1.8173449546226208 110:1.99563519459755 111:1.99563519459755 112:1.2787536009528289 113:1.8173449546226208 115:2.298853076409707 116:1.99563519459755 118:1.6901960800285136 119:1.6901960800285136 120:2.298853076409707 121:1.4404592647015428 122:1.2787536009528289 123:1.99563519459755 124:2.298853076409707 125:2.298853076409707 126:1.99563519459755 127:1.4404592647015428 128:0.9306337316183148 129:1.8173449546226208 130:2.298853076409707 131:1.4404592647015428 132:1.0606978403536116 133:2.298853076409707 136:1.0320021592991393 137:1.99563519459755 		hoan_hô công_an vì dân bắc được bọn buôn chất tạo nạc vì lợi_ích của bản_thân mà bán những chất đầu_độc nhân_dân mình tôi đề_nghị nên tử_hình những kẻ này và phạt thật nặng điều_tra thêm về rau ngâm hóa_chất nửa để chúng_ta đi ăn hoạc mua một món gì không còn sợ ăn hóa_chất nữa 
13 1 70:1.6901960800285136 82:1.99563519459755 91:1.1578982409406087 97:1.380211241711606 105:1.99563519459755 106:1.99563519459755 110:1.99563519459755 113:1.8173449546226208 118:1.6901960800285136 140:1.8173449546226208 142:1.4404592647015428 143:1.99563519459755 144:2.298853076409707 145:1.5096504624671803 146:2.298853076409707 147:1.8173449546226208 148:2.298853076409707 150:1.99563519459755 151:2.298853076409707 152:1.99563519459755 153:1.99563519459755 154:2.298853076409707 155:1.8173449546226208 156:2.298853076409707 		hoan_hô sự quyết_liệt này đây không_thể gọi_là chất tạo nạc mà phải gọi nó là chất đầu_độc đồng_loại tôi đề_nghị đưa tội_danh này có mức phạt hình_sự ngang với tội buôn_bán ma_túy có thế mới thực_sự là quyết_liệt 
14 1 70:1.6901960800285136 71:1.6901960800285136 157:1.99563519459755 158:2.298853076409707 		hoan_hô mấy anh cảnh_sát
15 1 2:1.1578982409406087 5:1.380211241711606 21:0.6297314128125431 38:1.380211241711606 159:1.99563519459755 160:2.298853076409707 161:2.298853076409707 162:1.99563519459755 163:1.99563519459755 164:1.99563519459755 165:2.298853076409707 166:2.298853076409707 167:2.298853076409707 168:1.99563519459755 169:2.298853076409707 171:1.8173449546226208 172:1.99563519459755 173:2.298853076409707 174:1.591064607026499 175:2.298853076409707 176:2.298853076409707 177:1.6901960800285136 178:1.99563519459755 180:2.298853076409707 181:1.99563519459755 184:1.4404592647015428 		tuyệt_vời tôi hy_vọng đây sẽ là bước đột_phá giúp thu_hút nhân_tài để cống_hiến cho đất_nước trí_tuệ là vô_giá các nhân_tài hãy vì dân_tộc mà cống_hiến nhiều hơn_nữa những phát_minh sáng_chế cảm_ơn các đ c lãnh_đạo đã mở_rộng cho các nhân_tài nếu tốt hãy nhân rộng trên cả nước 
16 1 34:1.99563519459755 38:1.380211241711606 49:0.9306337316183148 186:1.4404592647015428 187:2.298853076409707 189:1.6901960800285136 190:1.2787536009528289 191:2.298853076409707 		rất tốt nhưng mong là những vị_trí đó đến đúng tay người xứng_đáng 
17 1 1:1.1949766120282994 37:1.99563519459755 132:1.0606978403536116 136:1.0320021592991393 163:1.99563519459755 164:1.99563519459755 192:1.99563519459755 193:2.298853076409707 194:1.8173449546226208 195:1.5096504624671803 196:1.5096504624671803 197:1.3267908404607376 198:2.298853076409707 199:1.5096504624671803 202:2.298853076409707 203:2.298853076409707 204:2.298853076409707 205:1.99563519459755 206:2.298853076409707 207:2.298853076409707 208:2.298853076409707 209:2.298853076409707 		thật tuyệt đây sẽ là một điểm sáng của việt nam trong lĩnh_vực thu_hút nhân_tài nhưng lương vẫn chỉ là một khía_cạnh còn cơ_sở vật_chất máy_móc nghiên_cứu nhưng dẫu_sao thông_tin này chắc_chắn sẽ có hiệu_quả 
18 1 2:1.1578982409406087 78:0.8653014355156231 128:0.9306337316183148 132:1.0606978403536116 197:1.3267908404607376 210:1.99563519459755 211:1.0047988646762522 212:2.298853076409707 213:1.99563519459755 214:1.99563519459755 215:2.298853076409707 216:1.99563519459755 217:2.298853076409707 218:2.298853076409707 219:1.99563519459755 220:1.2787536009528289 221:2.298853076409707 		một hướng đi quá hay trong quá_trình thực_hiện cố_gắng bám sát cuộc_sống và nhu_cầu thực_tế của người_dân được nữa_là tuyệt_vời 
19 1 132:1.0606978403536116 177:1.6901960800285136 222:1.8173449546226208 223:2.298853076409707 224:1.8173449546226208 225:2.298853076409707 226:2.298853076409707 227:1.5096504624671803 228:1.8173449546226208 		một hành_động kịp_thời để tránh chảy_máu chất_xám rất hoan_nghênh lãnh_đạo tp 
20 1 211:1.0047988646762522 		rất hay
21 1 2:1.1578982409406087 64:1.5096504624671803 78:0.8653014355156231 174:1.591064607026499 229:1.99563519459755 230:1.591064607026499 		tin này quá tuyệt_vời cảm_ơn sự đúng_đắn của thành_phố 
22 1 43:1.591064607026499 45:0.8066823305905351 78:0.8653014355156231 101:1.2787536009528289 172:1.99563519459755 231:2.298853076409707 232:2.298853076409707 233:2.298853076409707 234:2.298853076409707 235:1.99563519459755 236:2.298853076409707 238:2.298853076409707 239:2.298853076409707 240:2.298853076409707 241:1.99563519459755 242:2.298853076409707 243:2.298853076409707 246:2.298853076409707 247:1.8173449546226208 248:2.298853076409707 249:1.8173449546226208 250:2.298853076409707 251:1.99563519459755 252:1.6901960800285136 253:1.591064607026499 254:1.591064607026499 255:2.298853076409707 256:1.99563519459755 257:2.298853076409707 258:1.99563519459755 		ủng_hộ quá tất_nhiên với những nhà_khoa_học thực_thụ không không đặt quyền_lợi cá_nhân lên trên không lạm_dụng đồng_tiền của dân nếu phát_hiện dù chỉ là một_triệu đồng thì cũng xin mời ra khỏi hội_đồng khoa_học và truy_thu gần hết số tiền đã lĩnh tất_nhiên là vẫn phải công_nhận những phát_minh và phải trừ những khoảng đó ra
23 1 45:0.8066823305905351 66:0.9789249693398308 259:1.4404592647015428 		tôi rất ủng_hộ cách làm này 
24 1 45:0.8066823305905351 46:1.2350691146322097 		ủng_hộ bộ_trưởng
25 1 45:0.8066823305905351 46:1.2350691146322097 259:1.4404592647015428 260:1.99563519459755 261:1.591064607026499 262:1.2787536009528289 263:2.298853076409707 264:1.3267908404607376 		rất thích cách làm_việc của bộ_trưởng   thăng ủng_hộ ông
26 1 227:1.5096504624671803 		hoan_nghênh
27 1 36:1.6901960800285136 45:0.8066823305905351 46:1.2350691146322097 265:2.298853076409707 267:2.298853076409707 268:1.99563519459755 269:1.591064607026499 270:1.6901960800285136 271:2.298853076409707 		cháu ủng_hộ bộ_trưởng cần kiên_quyết dứt_khoát và mang tính triệt_để như_vậy
28 1 46:1.2350691146322097 174:1.591064607026499 272:1.8173449546226208 273:2.298853076409707 		rất cảm_ơn sự mạnh_mẽ và cương_quyết của bộ_trưởng 
29 1 274:2.298853076409707 		rất dũng_cảm
30 1 211:1.0047988646762522 		hay
31 1 69:1.99563519459755 269:1.591064607026499 275:1.99563519459755 276:1.8173449546226208 		mang thai hộ rất nhân_đạo 
32 1 39:1.2787536009528289 42:1.380211241711606 64:1.5096504624671803 197:1.3267908404607376 211:1.0047988646762522 277:1.3267908404607376 278:1.1949766120282994 279:2.298853076409707 280:2.298853076409707 281:1.0606978403536116 		đây là tin hay nhất trong năm mà tôi từng đọc có ai giống tôi ko ?
33 1 282:2.298853076409707 		tôi hưởng_ứng 
34 1 45:0.8066823305905351 283:1.99563519459755 		nhiệt_liệt ủng_hộ
35 1 68:1.380211241711606 111:1.99563519459755 132:1.0606978403536116 211:1.0047988646762522 284:1.591064607026499 285:1.99563519459755 		một chính_sách hay hợp_lý phục_vụ nhân_dân
36 1 1:1.1949766120282994 2:1.1578982409406087 21:0.6297314128125431 49:0.9306337316183148 119:1.6901960800285136 150:1.99563519459755 220:1.2787536009528289 286:2.298853076409707 287:2.298853076409707 288:2.298853076409707 289:2.298853076409707 291:2.298853076409707 292:1.99563519459755 293:2.298853076409707 294:1.99563519459755 295:2.298853076409707 296:2.298853076409707 297:2.298853076409707 298:1.99563519459755 299:2.298853076409707 300:1.99563519459755 301:1.99563519459755 302:1.591064607026499 303:1.99563519459755 304:2.298853076409707 305:2.298853076409707 306:1.6901960800285136 307:2.298853076409707 308:1.8173449546226208 		 đối_với ôtô chở người từ 9 chỗ trở xuống nộp lệ_phí trước_bạ lần đầu với mức thu là 10 thật tuyệt_vời vì đã giảm gánh nặng cho người_dân các tỉnh_thành vẫn hiện phải đóng 12 phí trước_bạ
37 1 309:1.8173449546226208 310:1.2787536009528289 		hoàn_toàn đồng_ý 
38 1 1:1.1949766120282994 2:1.1578982409406087 311:2.298853076409707 312:1.8173449546226208 313:2.298853076409707 314:2.298853076409707 		chế_độ hỗ_trợ nữ lao_động thật tuyệt_vời 
39 1 272:1.8173449546226208 		rất mạnh_mẽ
40 1 66:0.9789249693398308 315:2.298853076409707 317:1.3267908404607376 		tổng_thống phải vậy nói là làm
41 1 46:1.2350691146322097 190:1.2787536009528289 317:1.3267908404607376 		bộ_trưởng nói rất đúng
42 1 91:1.1578982409406087 108:1.99563519459755 112:1.2787536009528289 145:1.5096504624671803 190:1.2787536009528289 211:1.0047988646762522 319:1.8173449546226208 320:2.298853076409707 322:1.5096504624671803 323:1.8173449546226208 324:2.298853076409707 		đúng rồi phải để bản_thân hoặc người_thân mình vào thì mới biết là nó nhỏ hay to 
43 1 211:1.0047988646762522 		rất hay
44 1 325:2.298853076409707 326:1.5096504624671803 		chính_xác luôn 
45 1 89:1.99563519459755 327:1.99563519459755 328:1.2350691146322097 329:1.591064607026499 330:2.298853076409707 		chuẩn rồi bác ơi cần trừng_phạt thích_đáng
46 1 78:0.8653014355156231 260:1.99563519459755 326:1.5096504624671803 		quá thích luôn 
47 1 78:0.8653014355156231 317:1.3267908404607376 327:1.99563519459755 328:1.2350691146322097 		bác nói chuẩn quá 
48 1 78:0.8653014355156231 211:1.0047988646762522 		hay quá
49 1 45:0.8066823305905351 328:1.2350691146322097 331:1.99563519459755 		luôn_luôn ủng_hộ bác
50 1 211:1.0047988646762522 		hay phải vậy chứ 
51 1 45:0.8066823305905351 220:1.2787536009528289 230:1.591064607026499 329:1.591064607026499 333:1.6901960800285136 334:2.298853076409707 335:1.3267908404607376 		cố lên chú hải ơi người_dân thành_phố ủng_hộ chú
52 1 45:0.8066823305905351 59:1.8173449546226208 264:1.3267908404607376 333:1.6901960800285136 335:1.3267908404607376 336:2.298853076409707 		tiếp_tục ủng_hộ ông hải q1 cố lên 
53 1 45:0.8066823305905351 309:1.8173449546226208 333:1.6901960800285136 335:1.3267908404607376 337:1.5096504624671803 338:2.298853076409707 		hoàn_toàn ủng_hộ em hải cố lên em nhé 
54 1 1:1.1949766120282994 5:1.380211241711606 36:1.6901960800285136 38:1.380211241711606 66:0.9789249693398308 101:1.2787536009528289 184:1.4404592647015428 230:1.591064607026499 264:1.3267908404607376 335:1.3267908404607376 340:1.99563519459755 341:1.8173449546226208 342:1.4404592647015428 343:2.298853076409707 344:1.8173449546226208 345:1.8173449546226208 346:1.8173449546226208 347:2.298853076409707 		rất tốt nếu các thành_phố đều làm như_vậy thì đất_nước thật văn_minh nếu cán_bộ nào cũng_như ông đoàn ngọc hải thì nước mạnh dân giầu 
55 1 174:1.591064607026499 220:1.2787536009528289 264:1.3267908404607376 348:2.298853076409707 349:1.591064607026499 350:1.99563519459755 		ông rất thẳng_thắn người_dân chúng_tôi vô_cùng cảm_ơn ông rất cảm_ơn 
56 0 68:1.380211241711606 351:1.99563519459755 		tôi tán_thành với chính_sách này
57 1 45:0.8066823305905351 66:0.9789249693398308 67:1.4404592647015428 71:1.6901960800285136 140:1.8173449546226208 145:1.5096504624671803 272:1.8173449546226208 352:2.298853076409707 354:2.298853076409707 355:2.298853076409707 356:2.298853076409707 		ủng_hộ anh làm quyết_liệt làm thường_xuyên và mạnh_mẽ hơn cái gì mà thường_xuyên nó sẽ thành thói_quen là văn_hóa 
58 1 14:1.8173449546226208 127:1.4404592647015428 194:1.8173449546226208 264:1.3267908404607376 335:1.3267908404607376 357:2.298853076409707 358:2.298853076409707 359:1.99563519459755 		rất cám_ơn ông hải ông là tam gương sáng để chúng_ta học_tập
59 1 15:1.591064607026499 264:1.3267908404607376 310:1.2787536009528289 335:1.3267908404607376 344:1.8173449546226208 345:1.8173449546226208 360:1.99563519459755 361:1.591064607026499 362:2.298853076409707 363:2.298853076409707 364:1.6901960800285136 365:1.1578982409406087 366:1.591064607026499 367:1.99563519459755 		tôi đồng_ý việc_làm của ông đoàn ngọc hải dẹp bỏ tất_cả những gì cản_trở lấn_chiếm vỉa_hè ở các đô_thị
60 2 45:0.8066823305905351 66:0.9789249693398308 127:1.4404592647015428 228:1.8173449546226208 283:1.99563519459755 340:1.99563519459755 368:2.298853076409707 369:2.298853076409707 370:1.8173449546226208 372:2.298853076409707 373:2.298853076409707 374:1.99563519459755 375:2.298853076409707 		nhiệt_liệt ủng_hộ vì cái chung để có được tp sạch đẹp văn_minh phải làm ngay hôm_nay để ngày_mai chúng_ta và con_cháu được hưởng 
61 1 45:0.8066823305905351 49:0.9306337316183148 66:0.9789249693398308 195:1.5096504624671803 196:1.5096504624671803 259:1.4404592647015428 328:1.2350691146322097 335:1.3267908404607376 		tôi rất ủng_hộ cách làm bác hải việt nam rất cần những người như bác 
62 1 45:0.8066823305905351 71:1.6901960800285136 101:1.2787536009528289 349:1.591064607026499 377:2.298853076409707 378:2.298853076409707 		dân chúng_tôi ủng_hộ anh chúc anh sức_khoẻ
63 1 45:0.8066823305905351 49:0.9306337316183148 61:1.591064607026499 67:1.4404592647015428 128:0.9306337316183148 230:1.591064607026499 285:1.99563519459755 349:1.591064607026499 370:1.8173449546226208 381:2.298853076409707 382:1.99563519459755 		chúng_tôi rất ủng_hộ việc này vừa phục_vụ người đi bộ quan_trọng hơn là mỹ_quan thành_phố sẽ đẹp hơn 
64 1 64:1.5096504624671803 76:1.2787536009528289 194:1.8173449546226208 383:1.99563519459755 384:1.99563519459755 		sáng ra thấy tin này là phấn_khởi hẳn 
65 1 174:1.591064607026499 328:1.2350691146322097 335:1.3267908404607376 		cảm_ơn bác hải 
66 1 1:1.1949766120282994 2:1.1578982409406087 21:0.6297314128125431 49:0.9306337316183148 59:1.8173449546226208 61:1.591064607026499 128:0.9306337316183148 132:1.0606978403536116 177:1.6901960800285136 184:1.4404592647015428 186:1.4404592647015428 365:1.1578982409406087 385:1.99563519459755 386:2.298853076409707 388:2.298853076409707 389:2.298853076409707 390:1.99563519459755 391:2.298853076409707 394:1.8173449546226208 395:2.298853076409707 396:2.298853076409707 397:2.298853076409707 398:2.298853076409707 399:1.99563519459755 400:2.298853076409707 401:1.99563519459755 402:2.298853076409707 		thật tuyệt_vời khi cả nước ra_quân lập lại trật_tự vỉa_hè dành một phần thông_thoáng cho người đi bộ mong rằng sau đợt sắp_xếp này lãnh_đạo các địa_bàn khu_phố phường quận tiếp_tục chỉ_đạo để duy_trì được trật_tự thông_thoáng của các hè_phố 
67 1 66:0.9789249693398308 128:0.9306337316183148 190:1.2787536009528289 210:1.99563519459755 328:1.2350691146322097 329:1.591064607026499 346:1.8173449546226208 		đúng hướng rồi làm mạnh đi các bác ơi 
68 1 45:0.8066823305905351 403:2.298853076409707 		rất ủng_hộ phương_án này
69 1 39:1.2787536009528289 77:1.8173449546226208 78:0.8653014355156231 96:1.4404592647015428 101:1.2787536009528289 112:1.2787536009528289 136:1.0320021592991393 153:1.99563519459755 177:1.6901960800285136 227:1.5096504624671803 229:1.99563519459755 252:1.6901960800285136 281:1.0606978403536116 322:1.5096504624671803 326:1.5096504624671803 364:1.6901960800285136 370:1.8173449546226208 399:1.99563519459755 404:1.6901960800285136 405:1.99563519459755 406:2.298853076409707 407:2.298853076409707 408:1.99563519459755 409:2.298853076409707 410:2.298853076409707 411:2.298853076409707 412:1.6901960800285136 413:1.591064607026499 414:2.298853076409707 415:2.298853076409707 416:1.5096504624671803 417:1.99563519459755 418:2.298853076409707 419:2.298853076409707 420:2.298853076409707 421:2.298853076409707 422:2.298853076409707 423:1.5096504624671803 424:2.298853076409707 425:2.298853076409707 427:2.298853076409707 		nghe mừng quá hợp lòng dân hoan_nghênh các lãnh_đạo địa_phương hết_lòng với chủ_trương đúng_đắn nầy không biết quận tân phú thế_nào ? đường lb b con đường đẹp nhất quận có triển_khai không ? các cửa_tiệm buôn_bán tự lấn_chiếm hết vĩa hè của mình còn lấn luôn của nhà kế bên một_cách ngang_nhiên 
70 1 45:0.8066823305905351 66:0.9789249693398308 101:1.2787536009528289 428:2.298853076409707 429:2.298853076409707 430:1.6901960800285136 431:1.99563519459755 		toàn dân đồng_lòng toàn dân ủng_hộ thì chẳng có_lý gì là không làm được 
71 1 45:0.8066823305905351 66:0.9789249693398308 281:1.0606978403536116 326:1.5096504624671803 329:1.591064607026499 432:2.298853076409707 433:2.298853076409707 		ủng_hộ ủng_hộ đại ủng_hộ luôn huế ơi có làm không ?
72 1 15:1.591064607026499 45:0.8066823305905351 67:1.4404592647015428 79:1.8173449546226208 127:1.4404592647015428 140:1.8173449546226208 186:1.4404592647015428 220:1.2787536009528289 227:1.5096504624671803 434:2.298853076409707 435:1.8173449546226208 436:2.298853076409707 437:2.298853076409707 438:1.2350691146322097 439:2.298853076409707 440:1.99563519459755 441:1.6901960800285136 442:1.99563519459755 443:2.298853076409707 444:2.298853076409707 		rất hoan_nghênh các cấp các ngành đã sử lý quyết_liệt mong sao tất_cả người_dân đồng_tình ủng_hộ chính_quyền và chúng_ta nâng cao ý_thức để cs tươi_đẹp hơn 
73 1 184:1.4404592647015428 264:1.3267908404607376 335:1.3267908404607376 344:1.8173449546226208 345:1.8173449546226208 365:1.1578982409406087 383:1.99563519459755 385:1.99563519459755 445:2.298853076409707 446:2.298853076409707 447:1.4404592647015428 		rất phấn_khởi việc cả nước ra_quân giải_phóng vỉa_hè ông đoàn ngọc hải không cô_đơn nữa đâu 
74 1 66:0.9789249693398308 190:1.2787536009528289 195:1.5096504624671803 196:1.5096504624671803 309:1.8173449546226208 413:1.591064607026499 448:2.298853076409707 449:1.591064607026499 450:1.99563519459755 451:2.298853076409707 		cái này hoàn_toàn đúng phải làm gấp nếu có tuyến đường này kinh_tế việt nam sẽ cất_cánh 
75 1 5:1.380211241711606 21:0.6297314128125431 45:0.8066823305905351 147:1.8173449546226208 186:1.4404592647015428 416:1.5096504624671803 417:1.99563519459755 452:1.6901960800285136 453:2.298853076409707 454:1.99563519459755 455:1.5096504624671803 		con ủng_hộ 100 cho dự_án này mong sớm triển_khai để đưa đất_nước phát_triển 
76 1 2:1.1578982409406087 5:1.380211241711606 78:0.8653014355156231 112:1.2787536009528289 346:1.8173449546226208 413:1.591064607026499 449:1.591064607026499 455:1.5096504624671803 456:2.298853076409707 		tin_vui quá đất_nước mình sẽ phát_triển mạnh khi có tuyến đường này tuyệt_vời 
77 1 227:1.5096504624671803 457:1.8173449546226208 458:2.298853076409707 		rất hoan_nghênh nhưng đừng để đội_giá
78 1 2:1.1578982409406087 39:1.2787536009528289 78:0.8653014355156231 184:1.4404592647015428 186:1.4404592647015428 277:1.3267908404607376 413:1.591064607026499 449:1.591064607026499 450:1.99563519459755 455:1.5096504624671803 459:1.8173449546226208 460:2.298853076409707 461:2.298853076409707 462:2.298853076409707 		tuyệt_vời quá tuyệt_vời mong rằng 4 6 năm nữa sẽ hoàn_thành có tuyến đường tuyệt_vời nhất kết_nối phát_triển kinh_tế cả nước
79 1 20:1.8173449546226208 190:1.2787536009528289 192:1.99563519459755 262:1.2787536009528289 463:1.8173449546226208 464:1.8173449546226208 465:2.298853076409707 		rất tuyệt nhưng phải sử_dụng đúng đủ vốn đầu_tư  
80 1 46:1.2350691146322097 466:1.99563519459755 467:1.99563519459755 468:1.99563519459755 469:2.298853076409707 		lời_nói của bộ_trưởng quả chí_lý dĩ_hòa_vi_quý mà 
81 1 46:1.2350691146322097 224:1.8173449546226208 466:1.99563519459755 467:1.99563519459755 468:1.99563519459755 470:2.298853076409707 471:2.298853076409707 472:2.298853076409707 473:2.298853076409707 		lời_nói của bộ_trưởng quả chí_lý tránh voi không xấu mặt chuột 
82 1 5:1.380211241711606 13:1.591064607026499 127:1.4404592647015428 224:1.8173449546226208 310:1.2787536009528289 331:1.99563519459755 440:1.99563519459755 441:1.6901960800285136 474:2.298853076409707 475:2.298853076409707 476:2.298853076409707 477:2.298853076409707 478:2.298853076409707 		đồng_ý là tránh khiêu_khích các hacker nước_ngoài nhưng chúng_ta nên cần luôn_luôn nâng cao cảnh_giác để phòng_tránh và bảo_vệ đất_nước 
83 1 46:1.2350691146322097 190:1.2787536009528289 317:1.3267908404607376 479:2.298853076409707 		bộ_trưởng nói rất đúng không nên manh_động 
84 2 480:2.298853076409707 481:2.298853076409707 		vỗ_tay quá_trời
85 1 45:0.8066823305905351 91:1.1578982409406087 227:1.5096504624671803 455:1.5096504624671803 482:2.298853076409707 		phải vậy xh mới phát_triển được rất hoan_nghênh và ủng_hộ 
86 1 483:2.298853076409707 484:2.298853076409707 		rất chặt_chẽ và nghiêm_khắc
87 0 68:1.380211241711606 211:1.0047988646762522 351:1.99563519459755 		chính_sách hay tôi tán_thành
88 1 45:0.8066823305905351 		phải vậy tôi rất ủng_hộ
89 1 211:1.0047988646762522 		hay
90 1 63:1.99563519459755 196:1.5096504624671803 310:1.2787536009528289 485:2.298853076409707 		tôi là nam nhưng tôi đồng_ý với ý_kiến với bà 
91 1 45:0.8066823305905351 486:1.591064607026499 487:1.8173449546226208 488:2.298853076409707 489:2.298853076409707 490:2.298853076409707 491:2.298853076409707 		tôi ủng_hộ luật cấm phá_thai với những thai_nhi bình_thường tội_lỗi tội_lỗi
92 1 190:1.2787536009528289 264:1.3267908404607376 317:1.3267908404607376 		ông nói đúng 
93 1 21:0.6297314128125431 492:2.298853076409707 493:2.298853076409707 494:1.99563519459755 		1000 like cho trump
94 1 2:1.1578982409406087 190:1.2787536009528289 328:1.2350691146322097 494:1.99563519459755 495:2.298853076409707 496:2.298853076409707 497:2.298853076409707 498:1.99563519459755 499:1.99563519459755 500:2.298853076409707 501:1.99563519459755 		đúng là vị lảnh đạo có tầm nhìn chiến_lược rất tuyệt_vời bác trump ạ
95 1 21:0.6297314128125431 39:1.2787536009528289 77:1.8173449546226208 97:1.380211241711606 132:1.0606978403536116 159:1.99563519459755 171:1.8173449546226208 197:1.3267908404607376 213:1.99563519459755 220:1.2787536009528289 502:2.298853076409707 503:1.99563519459755 504:2.298853076409707 505:1.8173449546226208 506:2.298853076409707 507:2.298853076409707 508:1.99563519459755 509:2.298853076409707 510:2.298853076409707 511:2.298853076409707 512:2.298853076409707 513:2.298853076409707 514:1.6901960800285136 515:2.298853076409707 516:2.298853076409707 517:1.8173449546226208 		một tín_hiệu đáng mừng hy_vọng đẩy_mạnh và nhanh hơn_nữa công_tác cải_cách thủ_tục hành_chính tthc thực_hiện cơ_chế một cửa một cửa liên_thông tạo điều_kiện thuận_lợi nhất cho người_dân và doanh_nghiệp trong giải_quyết tthc 
96 1 21:0.6297314128125431 38:1.380211241711606 101:1.2787536009528289 		vậy có phải là tốt cho dân không
97 1 78:0.8653014355156231 112:1.2787536009528289 131:1.4404592647015428 211:1.0047988646762522 423:1.5096504624671803 518:1.99563519459755 		hay quá mình cũng sắp mua nhà 
98 1 1:1.1949766120282994 2:1.1578982409406087 132:1.0606978403536116 222:1.8173449546226208 269:1.591064607026499 270:1.6901960800285136 519:2.298853076409707 520:1.99563519459755 		tuyệt_vời thật tuyệt_vời một hành_động mang tính tích_cực và rất nhân_văn 
99 1 43:1.591064607026499 45:0.8066823305905351 122:1.2787536009528289 186:1.4404592647015428 408:1.99563519459755 454:1.99563519459755 520:1.99563519459755 521:1.8173449546226208 522:1.99563519459755 523:2.298853076409707 524:2.298853076409707 525:2.298853076409707 		rất nhân_văn xin ủng_hộ chủ_trương của đà nẵng và mong những cô_gái lầm_đường_lạc_lối sớm về với cộng_đồng 
